date,user_id,segment,campaign,email_sent,opened,clicked,purchased,revenue,past_purchases,avg_order_value,days_since_last_purchase
2025-01-28,U1097,Frequent Buyer,Welcome Series,1,1,0,1,174.86,30,134.51,6
2025-01-20,U1098,Regular,Flash Deal,0,0,0,0,0,4,169.5,38
2025-02-09,U1099,VIP,Flash Deal,1,0,0,0,0,41,82.4,15
2025-03-19,U1100,Regular,Flash Deal,1,1,1,0,0,7,157.35,29
2025-01-12,U1101,Frequent Buyer,Weekend Special,0,0,0,0,0,25,30.52,8
2025-02-10,U1102,Regular,Flash Deal,1,0,0,0,0,4,88.34,20
2025-01-11,U1103,Frequent Buyer,Loyalty Reward,1,1,1,1,182.6,10,143.77,12
2025-03-18,U1104,VIP,Summer Sale,0,0,0,1,41.89,34,37.54,3
2025-03-09,U1105,VIP,New Arrival,1,0,0,1,16.25,42,15.29,6
2025-03-26,U1106,VIP,Welcome Series,1,0,0,0,0,39,196.49,3
2025-01-18,U1107,Frequent Buyer,New Arrival,1,1,0,1,156.68,20,165.5,13
2025-02-06,U1108,New User,Weekend Special,1,0,0,0,0,0,88.67,26
2025-02-17,U1109,Frequent Buyer,New Arrival,0,0,0,0,0,20,152.51,6
2025-01-11,U1110,VIP,Welcome Series,1,1,1,1,34.3,42,29.6,10
2025-02-16,U1111,Regular,New Arrival,0,0,0,0,0,4,128.75,22
2025-03-19,U1112,Regular,Win-Back,1,1,0,0,0,3,21.44,20
2025-03-05,U1113,Inactive,New Arrival,1,0,0,0,0,2,88.64,118
2025-01-10,U1114,New User,Summer Sale,1,0,0,0,0,1,54.7,19
2025-02-16,U1115,Inactive,New Arrival,1,0,0,0,0,1,146.26,213
2025-01-09,U1116,Regular,Loyalty Reward,1,1,0,0,0,3,117.49,34
2025-01-17,U1117,VIP,New Arrival,1,0,0,0,0,19,38.19,15
2025-01-21,U1118,VIP,Welcome Series,1,1,0,1,233.1,47,183.48,5
2025-03-17,U1119,Frequent Buyer,Loyalty Reward,1,0,0,1,74.28,15,65.77,10
2025-03-15,U1120,VIP,New Arrival,1,1,0,0,0,16,30.03,9
2025-01-21,U1121,VIP,New Arrival,1,1,1,1,180.8,30,163.87,3
2025-02-04,U1122,Frequent Buyer,Win-Back,1,1,1,1,198.18,20,155.72,2
2025-01-03,U1123,VIP,Welcome Series,0,0,0,1,49.95,35,50.12,16
2025-01-14,U1124,Inactive,Loyalty Reward,1,0,0,0,0,1,24.35,300
2025-03-12,U1125,Frequent Buyer,Win-Back,0,0,0,1,155.99,10,120.5,9
2025-03-06,U1126,VIP,Loyalty Reward,0,0,0,1,132.8,38,162.06,7
2025-03-17,U1127,Frequent Buyer,Loyalty Reward,1,1,0,0,0,23,40.86,6
2025-03-25,U1128,VIP,Win-Back,1,0,0,0,0,36,139.65,20
2025-01-05,U1129,VIP,Weekend Special,1,1,0,1,47.49,45,46.54,5
2025-03-13,U1130,Inactive,Loyalty Reward,1,0,0,0,0,1,158.37,91
2025-02-01,U1131,VIP,Win-Back,1,1,1,0,0,49,78.33,20
2025-02-20,U1132,Frequent Buyer,Summer Sale,0,0,0,0,0,15,73.65,15
2025-03-13,U1133,Regular,Flash Deal,1,0,0,0,0,2,79.08,46
2025-01-13,U1134,VIP,New Arrival,0,0,0,0,0,48,56.75,11
2025-01-12,U1135,Regular,New Arrival,1,0,0,0,0,6,103.33,53
2025-03-14,U1136,New User,Summer Sale,1,0,0,0,0,0,160.77,5
2025-01-15,U1137,Frequent Buyer,Welcome Series,1,1,0,0,0,29,106.37,14
2025-01-12,U1138,Regular,Loyalty Reward,1,0,0,0,0,7,47.47,45
2025-02-03,U1139,Regular,Loyalty Reward,1,0,0,0,0,4,85.96,53
2025-02-17,U1140,New User,New Arrival,1,0,0,0,0,0,141.92,29
2025-03-29,U1141,Regular,Weekend Special,1,0,0,0,0,3,91.93,35
2025-02-11,U1142,New User,Flash Deal,1,0,0,0,0,1,26.43,17
2025-03-28,U1143,Regular,Loyalty Reward,0,0,0,0,0,2,98.88,31
2025-03-02,U1144,New User,Summer Sale,1,1,0,0,0,1,121.99,1
2025-01-16,U1145,Inactive,New Arrival,1,0,0,0,0,1,29.85,336
2025-01-30,U1146,VIP,Loyalty Reward,0,0,0,1,190.74,16,196.02,14
2025-02-27,U1147,Frequent Buyer,Summer Sale,1,1,0,1,150.68,12,128.76,4
2025-01-31,U1148,Inactive,Loyalty Reward,1,0,0,0,0,0,40.93,354
2025-01-07,U1149,VIP,Loyalty Reward,0,0,0,0,0,18,117.99,14
2025-02-08,U1150,Inactive,Weekend Special,1,0,0,0,0,1,70.48,302
2025-02-27,U1151,Inactive,New Arrival,1,0,0,0,0,1,113.05,164
2025-01-27,U1152,Regular,Flash Deal,0,0,0,0,0,4,176.62,56
2025-02-20,U1153,Frequent Buyer,New Arrival,1,0,0,0,0,15,153.17,15
2025-02-10,U1154,Frequent Buyer,Summer Sale,0,0,0,0,0,26,72.06,15
2025-02-07,U1155,Frequent Buyer,New Arrival,0,0,0,1,146.8,10,152.13,9
2025-01-22,U1156,Inactive,Flash Deal,1,1,0,0,0,2,62.61,311
2025-01-02,U1157,VIP,New Arrival,1,1,1,1,174.99,18,156.4,3
2025-01-03,U1158,VIP,Loyalty Reward,1,1,0,1,144.08,15,113.46,9
2025-01-11,U1159,Regular,Weekend Special,0,0,0,0,0,2,50.51,21
2025-02-18,U1160,Inactive,Win-Back,0,0,0,0,0,2,70.5,76
2025-01-30,U1161,New User,Loyalty Reward,1,1,0,0,0,0,171.39,20
2025-03-17,U1162,Inactive,Summer Sale,1,1,0,0,0,2,181.37,151
2025-01-07,U1163,New User,Loyalty Reward,1,1,1,1,154.64,1,140.25,17
2025-01-24,U1164,VIP,Win-Back,0,0,0,0,0,32,159.96,18
2025-02-10,U1165,Inactive,New Arrival,0,0,0,0,0,1,146.93,254
2025-01-14,U1166,New User,Loyalty Reward,0,0,0,1,33.13,0,33.91,2
2025-03-29,U1167,New User,Loyalty Reward,1,0,0,0,0,1,91.55,24
2025-03-22,U1168,Frequent Buyer,Welcome Series,1,1,0,1,82.8,13,95.42,8
2025-03-19,U1169,New User,Welcome Series,1,0,0,0,0,1,96.44,13
2025-02-16,U1170,Frequent Buyer,Weekend Special,0,0,0,1,209.94,19,194.04,6
2025-03-28,U1171,VIP,Weekend Special,0,0,0,1,211.55,44,189.45,3
2025-03-11,U1172,Regular,Win-Back,0,0,0,1,206.73,7,160.98,33
2025-01-14,U1173,VIP,Weekend Special,0,0,0,1,42.54,37,45.77,11
2025-01-14,U1174,VIP,Summer Sale,0,0,0,1,198.97,44,157.88,12
2025-02-26,U1175,New User,Win-Back,1,0,0,0,0,0,78.47,25
2025-02-12,U1176,New User,Flash Deal,1,0,0,0,0,1,134.87,21
2025-02-19,U1177,Regular,Loyalty Reward,0,0,0,1,80.01,7,88.18,44
2025-03-18,U1178,Frequent Buyer,Loyalty Reward,1,1,1,1,80.69,12,82.67,2
2025-02-09,U1179,Inactive,Summer Sale,1,1,0,0,0,2,184.96,128
2025-02-06,U1180,Inactive,Flash Deal,0,0,0,0,0,2,93.26,148
2025-02-22,U1181,Frequent Buyer,New Arrival,0,0,0,0,0,10,104.65,7
2025-01-22,U1182,Inactive,Loyalty Reward,1,0,0,0,0,0,162.24,200
2025-02-24,U1183,Inactive,Loyalty Reward,1,1,0,0,0,1,167.31,81
2025-04-01,U1184,Frequent Buyer,Weekend Special,1,0,0,1,106.63,17,96.23,13
2025-03-07,U1185,Regular,Welcome Series,1,0,0,0,0,8,113.47,39
2025-02-01,U1186,New User,Flash Deal,1,0,0,0,0,0,175.4,4
2025-03-30,U1187,Inactive,Loyalty Reward,1,0,0,0,0,1,84.41,107
2025-01-28,U1188,Inactive,Weekend Special,0,0,0,0,0,2,150.22,243
2025-01-06,U1189,Regular,New Arrival,1,1,0,0,0,4,116.25,41
2025-01-12,U1190,New User,Weekend Special,1,0,0,0,0,0,52.43,22
2025-03-03,U1191,Frequent Buyer,Summer Sale,1,1,0,0,0,21,149.31,7
2025-01-14,U1192,Inactive,New Arrival,1,0,0,0,0,0,143.4,256
2025-03-22,U1193,Regular,Welcome Series,1,0,0,0,0,8,27.66,5
2025-01-18,U1194,VIP,Win-Back,1,1,0,1,45.01,21,40.9,12
2025-01-31,U1195,VIP,New Arrival,1,1,1,1,58.15,34,53.01,10
2025-01-10,U1196,VIP,Weekend Special,0,0,0,1,145.28,39,174.25,6
2025-01-11,U1197,Frequent Buyer,New Arrival,0,0,0,0,0,10,68.0,13
2025-02-09,U1198,VIP,Win-Back,1,0,0,0,0,20,109.59,11
2025-03-31,U1199,Regular,Summer Sale,1,1,0,0,0,3,98.87,8
2025-02-04,U1200,VIP,Weekend Special,0,0,0,1,140.27,32,150.59,11
2025-03-15,U1201,VIP,Welcome Series,1,0,0,1,29.56,38,25.26,6
2025-01-29,U1202,New User,Weekend Special,0,0,0,0,0,0,102.28,12
2025-01-09,U1203,Inactive,Summer Sale,0,0,0,0,0,2,37.09,174
2025-02-17,U1204,Frequent Buyer,Flash Deal,0,0,0,1,17.24,11,16.47,10
2025-02-09,U1205,Regular,Summer Sale,0,0,0,1,61.87,3,58.1,45
2025-02-28,U1206,Regular,New Arrival,1,0,0,0,0,5,32.21,19
2025-02-20,U1207,New User,Weekend Special,1,0,0,0,0,0,95.47,30
2025-03-01,U1208,Frequent Buyer,Flash Deal,0,0,0,1,34.57,16,40.18,2
2025-02-11,U1209,Frequent Buyer,Summer Sale,1,1,0,0,0,18,172.71,13
2025-03-01,U1210,Inactive,Flash Deal,1,1,0,0,0,1,20.75,344
2025-01-03,U1211,New User,Welcome Series,1,0,0,0,0,0,141.96,30
2025-03-05,U1212,Inactive,Weekend Special,0,0,0,1,216.13,0,189.32,353
2025-03-12,U1213,Regular,Win-Back,0,0,0,0,0,3,97.51,7
2025-03-03,U1214,New User,Win-Back,1,0,0,0,0,1,133.89,25
2025-03-09,U1215,VIP,Weekend Special,0,0,0,1,80.8,16,73.99,2
2025-02-15,U1216,Regular,Loyalty Reward,0,0,0,0,0,2,64.31,55
2025-03-14,U1217,Regular,Loyalty Reward,1,0,0,0,0,3,184.09,50
2025-03-20,U1218,Inactive,Summer Sale,1,1,1,0,0,0,25.39,329
2025-03-17,U1219,Frequent Buyer,Welcome Series,0,0,0,1,150.49,13,158.26,14
2025-02-18,U1220,Regular,New Arrival,1,1,0,0,0,7,135.1,50
2025-01-19,U1221,New User,Summer Sale,0,0,0,0,0,1,126.44,29
2025-01-27,U1222,New User,Summer Sale,1,1,1,0,0,0,167.01,21
2025-01-13,U1223,New User,Loyalty Reward,0,0,0,0,0,0,194.28,28
2025-01-21,U1224,VIP,Flash Deal,0,0,0,0,0,17,69.56,11
2025-02-12,U1225,VIP,Summer Sale,1,1,1,0,0,45,145.33,6
2025-01-01,U1226,VIP,Summer Sale,1,1,1,0,0,30,32.74,5
2025-03-02,U1227,VIP,Weekend Special,0,0,0,1,52.68,28,46.6,10
2025-03-14,U1228,New User,Flash Deal,1,1,0,0,0,1,49.52,1
2025-03-15,U1229,New User,Loyalty Reward,0,0,0,0,0,1,117.42,26
2025-02-27,U1230,Inactive,Flash Deal,1,1,0,0,0,2,107.89,352
2025-01-12,U1231,Regular,Welcome Series,1,1,0,0,0,2,52.36,45
2025-01-14,U1232,Frequent Buyer,Loyalty Reward,1,0,0,1,150.52,9,159.61,3
2025-01-05,U1233,VIP,Flash Deal,0,0,0,1,149.75,46,120.82,13
2025-03-31,U1234,Regular,Weekend Special,0,0,0,0,0,7,18.74,55
2025-03-04,U1235,Regular,Flash Deal,0,0,0,0,0,4,149.83,46
2025-01-25,U1236,Frequent Buyer,Summer Sale,1,0,0,1,121.23,14,146.27,13
2025-01-31,U1237,New User,New Arrival,1,0,0,0,0,1,65.69,26
2025-01-07,U1238,Regular,Summer Sale,0,0,0,0,0,6,45.25,21
2025-03-02,U1239,VIP,Weekend Special,1,0,0,0,0,29,140.37,1
2025-02-28,U1240,VIP,Weekend Special,1,1,1,0,0,34,146.86,13
2025-02-08,U1241,VIP,New Arrival,1,0,0,0,0,47,199.89,18
2025-01-08,U1242,Frequent Buyer,Loyalty Reward,1,0,0,0,0,19,136.38,5
2025-01-05,U1243,VIP,Win-Back,0,0,0,0,0,23,148.44,14
2025-03-26,U1244,VIP,Weekend Special,1,0,0,1,112.97,49,133.09,10
2025-02-17,U1245,Regular,Weekend Special,1,1,1,0,0,7,136.07,27
2025-01-07,U1246,Inactive,Welcome Series,0,0,0,0,0,2,102.36,255
2025-02-10,U1247,Regular,Welcome Series,1,0,0,1,38.88,3,41.5,50
2025-02-17,U1248,Regular,Summer Sale,1,0,0,0,0,5,132.2,32
2025-01-22,U1249,VIP,Win-Back,1,1,1,0,0,30,56.86,4
2025-01-03,U1250,Inactive,Weekend Special,0,0,0,0,0,0,199.29,156
2025-03-10,U1251,Regular,New Arrival,1,0,0,0,0,7,46.26,50
2025-01-27,U1252,New User,New Arrival,1,0,0,0,0,0,92.1,12
2025-02-06,U1253,Frequent Buyer,Loyalty Reward,1,1,1,1,58.45,12,64.95,3
2025-01-02,U1254,Frequent Buyer,Flash Deal,1,0,0,0,0,22,22.29,12
2025-03-01,U1255,VIP,Welcome Series,1,1,0,0,0,19,148.86,15
2025-03-26,U1256,Frequent Buyer,Weekend Special,1,0,0,1,189.12,30,151.63,13
2025-02-23,U1257,VIP,New Arrival,0,0,0,0,0,36,48.83,13
2025-02-15,U1258,Regular,Flash Deal,0,0,0,0,0,3,91.97,35
2025-03-27,U1259,Regular,Weekend Special,1,0,0,0,0,5,23.5,46
2025-01-02,U1260,VIP,Weekend Special,1,0,0,1,127.54,30,104.16,5
2025-02-21,U1261,Inactive,New Arrival,0,0,0,0,0,1,76.22,174
2025-02-22,U1262,New User,Summer Sale,0,0,0,1,186.4,1,173.47,14
2025-03-26,U1263,New User,Welcome Series,0,0,0,0,0,1,190.82,11
2025-03-31,U1264,Inactive,Loyalty Reward,1,1,0,0,0,0,78.15,209
2025-01-14,U1265,Inactive,New Arrival,1,0,0,1,41.69,0,37.34,294
2025-03-07,U1266,VIP,Win-Back,0,0,0,0,0,47,39.91,18
2025-02-05,U1267,Regular,Loyalty Reward,1,1,1,1,164.3,7,136.64,25
2025-03-21,U1268,Regular,Flash Deal,1,0,0,0,0,6,174.23,52
2025-03-28,U1269,Regular,Loyalty Reward,0,0,0,0,0,6,146.42,27
2025-02-06,U1270,VIP,Welcome Series,1,0,0,1,28.84,48,34.7,7
2025-01-31,U1271,Frequent Buyer,New Arrival,0,0,0,1,198.45,26,165.59,14
2025-01-29,U1272,Frequent Buyer,Loyalty Reward,0,0,0,0,0,21,193.68,12
2025-01-06,U1273,Frequent Buyer,Summer Sale,0,0,0,1,51.56,15,47.82,3
2025-03-22,U1274,Regular,Loyalty Reward,1,0,0,0,0,6,101.27,14
2025-01-12,U1275,Inactive,Win-Back,0,0,0,0,0,2,192.04,318
2025-02-27,U1276,Regular,Summer Sale,1,1,0,0,0,4,190.81,38
2025-03-07,U1277,Regular,Weekend Special,1,0,0,0,0,7,86.39,51
2025-01-27,U1278,New User,Summer Sale,1,0,0,0,0,1,30.23,3
2025-01-05,U1279,Inactive,Win-Back,1,1,1,0,0,2,134.61,138
2025-03-10,U1280,VIP,Win-Back,1,1,0,1,101.8,41,86.79,1
2025-03-26,U1281,New User,Win-Back,0,0,0,1,141.02,0,160.58,9
2025-01-16,U1282,Regular,Loyalty Reward,1,1,0,0,0,7,192.62,24
2025-01-29,U1283,VIP,Flash Deal,1,1,1,1,61.51,37,54.17,5
2025-02-12,U1284,VIP,New Arrival,0,0,0,1,32.4,50,28.53,7
2025-02-10,U1285,Regular,Flash Deal,1,0,0,0,0,4,73.79,26
2025-02-15,U1286,Frequent Buyer,Win-Back,0,0,0,0,0,16,66.19,11
2025-01-10,U1287,Inactive,Welcome Series,1,0,0,0,0,2,170.73,335
2025-03-17,U1288,New User,Win-Back,1,0,0,0,0,1,117.04,17
2025-01-21,U1289,Inactive,Flash Deal,0,0,0,0,0,2,137.6,144
2025-03-27,U1290,VIP,Flash Deal,1,1,0,1,57.41,17,55.48,12
2025-02-18,U1291,Inactive,Loyalty Reward,1,0,0,0,0,1,145.19,200
2025-02-26,U1292,New User,Summer Sale,1,1,1,0,0,1,80.29,27
2025-03-03,U1293,Regular,New Arrival,0,0,0,0,0,3,137.31,56
2025-01-08,U1294,Regular,Loyalty Reward,1,1,0,0,0,2,121.1,13
2025-03-18,U1295,Inactive,Flash Deal,0,0,0,0,0,1,55.07,306
2025-01-30,U1296,VIP,Loyalty Reward,1,1,1,1,48.85,31,46.03,20
2025-01-12,U1297,VIP,Loyalty Reward,1,1,1,1,58.04,21,47.82,18
2025-02-24,U1298,Inactive,Loyalty Reward,1,1,0,0,0,2,94.36,255
2025-03-08,U1299,New User,Loyalty Reward,1,1,0,0,0,1,49.97,22
2025-03-20,U1300,Frequent Buyer,Loyalty Reward,1,1,0,0,0,12,135.54,14
2025-01-30,U1301,Inactive,Weekend Special,1,0,0,0,0,2,104.5,263
2025-01-12,U1302,Regular,Win-Back,1,0,0,0,0,3,163.16,49
2025-03-18,U1303,VIP,Loyalty Reward,1,1,0,1,87.54,29,83.6,13
2025-03-28,U1304,New User,Loyalty Reward,1,1,1,1,44.84,0,51.03,25
2025-03-13,U1305,Frequent Buyer,Loyalty Reward,1,0,0,1,158.18,30,123.42,12
2025-03-06,U1306,Frequent Buyer,Loyalty Reward,1,1,0,0,0,15,121.36,7
2025-03-03,U1307,Frequent Buyer,Loyalty Reward,1,1,1,1,204.22,23,157.44,13
2025-01-10,U1308,Regular,Win-Back,1,0,0,0,0,5,16.8,21
2025-02-03,U1309,Frequent Buyer,New Arrival,1,1,1,1,211.01,27,190.22,8
2025-03-05,U1310,Regular,Welcome Series,1,0,0,0,0,2,128.56,59
2025-03-03,U1311,VIP,Weekend Special,0,0,0,0,0,32,88.61,17
2025-02-18,U1312,New User,Summer Sale,1,0,0,0,0,1,195.65,22
2025-01-27,U1313,VIP,Win-Back,0,0,0,1,76.26,30,64.84,6
2025-03-13,U1314,Frequent Buyer,Weekend Special,1,1,1,1,251.01,23,196.17,14
2025-03-04,U1315,Regular,New Arrival,1,1,0,0,0,8,107.43,59
2025-02-03,U1316,Inactive,New Arrival,1,0,0,0,0,0,165.56,109
2025-02-06,U1317,Frequent Buyer,New Arrival,1,1,0,1,204.98,22,175.46,4
2025-01-10,U1318,New User,New Arrival,0,0,0,1,170.68,1,175.63,20
2025-02-22,U1319,Frequent Buyer,New Arrival,0,0,0,1,155.84,18,127.0,15
2025-01-04,U1320,Regular,Loyalty Reward,1,0,0,0,0,7,53.96,11
2025-02-26,U1321,New User,New Arrival,1,0,0,0,0,0,136.14,28
2025-03-31,U1322,Regular,Win-Back,1,0,0,0,0,2,174.88,60
2025-02-16,U1323,Inactive,Win-Back,1,0,0,0,0,2,72.29,176
2025-02-25,U1324,New User,Welcome Series,1,0,0,0,0,0,101.8,0
2025-01-11,U1325,New User,Flash Deal,1,1,1,0,0,1,88.03,5
2025-01-15,U1326,VIP,Flash Deal,1,1,0,1,182.97,49,164.63,6
2025-01-30,U1327,Regular,New Arrival,1,1,1,1,19.28,2,19.09,23
2025-01-24,U1328,Inactive,Summer Sale,0,0,0,0,0,1,171.06,196
2025-03-08,U1329,Frequent Buyer,Win-Back,1,0,0,1,85.72,9,86.19,12
2025-01-26,U1330,Frequent Buyer,New Arrival,1,1,1,1,196.56,29,152.77,2
2025-03-30,U1331,Regular,Loyalty Reward,0,0,0,0,0,4,123.17,55
