user_id,session_id,feature_used,time_spent_seconds,actions_count,returned_within_7d,purchased,revenue,user_type,sessions_last_30d,days_since_last_visit
18581,S365180,product_view,83,9,1,1,0,VIP,7,3
17869,S873443,filters,54,17,0,0,0,Regular,7,69
10551,S983981,share,269,18,1,1,0,Power,3,6
17380,S481359,product_view,496,1,1,0,0,Regular,24,38
10533,S784405,search,417,13,0,0,0,Regular,26,88
18978,S994360,product_view,131,5,0,0,0,New,5,10
17329,S829420,product_view,34,19,1,1,0,VIP,4,1
16133,S905218,reviews,325,2,0,1,0,Regular,12,80
13838,S659445,search,96,22,1,1,0,Regular,1,15
12461,S691140,reviews,249,15,0,1,86.05,New,14,33
15865,S810247,filters,408,20,1,0,0,Power,20,2
10550,S451367,offers,177,19,0,0,0,Regular,19,40
14647,S566637,cart,95,21,0,0,0,Regular,19,69
14505,S980719,recommendations,429,19,1,1,34.78,Inactive,2,20
18214,S793369,product_view,235,23,0,0,0,Inactive,3,40
10818,S644898,search,365,20,1,0,0,Regular,23,51
14684,S631542,notifications,209,25,0,0,0,Inactive,1,72
12425,S295533,offers,194,18,1,0,0,New,21,10
11839,S374519,reviews,516,15,1,1,97.56,VIP,3,6
19848,S766105,live_chat,509,9,0,0,0,Inactive,0,75
19141,S197067,product_view,419,10,0,0,0,Regular,29,64
12896,S272286,product_view,431,25,1,1,330.38,VIP,10,2
17420,S149560,filters,426,21,0,0,0,New,0,89
12267,S567925,offers,19,13,0,0,0,Regular,23,4
18442,S212920,notifications,542,18,1,0,0,Inactive,1,26
14892,S315203,share,181,13,0,0,0,New,22,37
12525,S576413,product_view,140,20,1,1,0,VIP,21,2
11550,S444464,filters,413,9,0,1,0,Regular,5,49
17372,S492626,share,329,5,1,0,0,Regular,11,28
15031,S162323,cart,55,22,1,0,0,VIP,29,1
16929,S137855,search,549,22,1,0,0,VIP,9,7
10762,S831985,reviews,70,19,0,1,0,New,18,46
13610,S889408,product_view,384,5,1,0,0,Inactive,2,54
14421,S847051,compare,536,6,1,1,56.57,New,23,47
14257,S617713,search,503,4,0,0,0,New,12,37
16864,S885955,filters,318,20,1,1,0,Regular,1,61
19945,S894077,recommendations,71,3,1,0,0,New,26,67
18833,S317349,filters,275,25,1,1,0,Power,28,7
11209,S665917,product_view,115,19,0,0,0,Inactive,2,89
15507,S849944,notifications,581,3,1,1,185.93,Regular,26,20
18416,S230856,offers,250,6,1,0,0,Regular,29,6
11838,S628947,product_view,354,6,0,0,0,New,27,12
18140,S715930,filters,427,7,1,0,0,VIP,16,1
12828,S894971,product_view,133,11,1,0,0,Regular,6,78
11171,S987873,product_view,103,4,1,1,50.29,New,17,2
12592,S709496,product_view,123,25,1,1,101.49,VIP,5,0
14321,S209578,product_view,308,12,0,1,0,Power,24,3
18843,S209713,recommendations,318,3,0,0,0,Inactive,3,59
18557,S439945,recommendations,600,1,1,1,30.69,New,13,37
17699,S618184,search,136,11,0,1,275.95,Power,23,4
13054,S644050,product_view,246,1,1,0,0,Regular,11,22
15883,S591885,filters,70,4,0,0,0,New,2,58
13230,S821114,share,22,23,1,1,156.28,VIP,7,1
11625,S603363,product_view,30,7,1,0,0,Regular,30,20
18868,S715384,product_view,77,12,1,1,336.15,Power,8,7
11666,S335099,product_view,92,25,0,0,0,Inactive,0,23
17517,S642052,filters,343,15,1,0,0,Power,11,1
19931,S615469,search,497,2,1,1,418.15,VIP,4,3
17574,S841612,recommendations,332,20,1,1,158.59,Regular,1,30
10589,S139235,search,77,15,0,0,0,VIP,8,1
14086,S112134,product_view,19,11,1,1,0,VIP,20,7
18567,S211699,cart,269,11,0,0,0,Regular,18,3
14347,S709056,cart,144,13,0,0,0,Inactive,1,65
15473,S992915,cart,179,16,0,0,0,Regular,19,64
16852,S669822,share,401,20,1,0,0,Regular,7,46
15130,S151306,reviews,107,2,1,1,0,Power,25,0
18904,S605924,live_chat,363,12,1,1,0,VIP,25,7
14374,S166063,notifications,175,5,1,1,147.98,Regular,1,21
13408,S365815,search,155,3,1,0,0,Regular,25,62
18080,S975192,search,172,22,1,0,0,Regular,15,16
10580,S417078,offers,251,19,0,0,0,New,0,53
19068,S665329,compare,285,22,1,0,0,Power,18,1
18852,S710603,recommendations,272,15,1,0,0,Regular,15,55
16985,S912376,recommendations,522,2,1,0,0,New,11,84
11593,S620279,product_view,127,13,0,1,37.37,Inactive,2,88
11584,S537524,search,428,23,0,0,0,Regular,14,39
19557,S132027,reviews,92,1,0,0,0,Inactive,0,6
18028,S451433,offers,73,19,0,0,0,Regular,17,81
16398,S983765,filters,261,21,1,1,0,Regular,0,58
12237,S257362,live_chat,193,17,1,1,164.3,Power,7,0
11118,S206458,product_view,527,19,0,0,0,New,7,61
17010,S221974,wishlist,493,25,1,0,0,Regular,4,87
12361,S719625,filters,339,20,1,0,0,VIP,30,3
18167,S424616,search,153,10,1,1,543.59,VIP,14,7
14772,S583135,share,569,1,1,0,0,VIP,30,5
12102,S513276,filters,158,17,1,0,0,Power,1,1
18721,S887790,product_view,455,12,1,0,0,Regular,26,47
18676,S311154,search,409,19,1,1,328.75,VIP,13,4
13764,S206157,recommendations,378,17,1,1,124.57,Regular,14,61
18146,S550330,product_view,578,16,1,0,0,Regular,8,21
15561,S292865,search,30,19,1,1,132.52,VIP,3,3
10729,S198595,cart,539,9,1,1,177.47,Power,20,1
10480,S573870,cart,489,17,1,0,0,Inactive,1,47
15318,S180346,filters,14,5,1,0,0,Power,17,7
19705,S958896,reviews,441,6,1,1,357.77,Power,29,3
19516,S284185,search,388,21,0,1,0,Regular,26,16
12714,S551942,recommendations,392,8,0,1,133.01,Regular,22,59
11177,S290904,recommendations,296,18,1,0,0,Power,28,0
14186,S406731,product_view,318,23,0,0,0,New,20,32
15683,S674033,offers,356,20,0,0,0,VIP,18,4
18001,S881147,product_view,161,3,1,0,0,Regular,24,73
16953,S420091,compare,53,9,1,1,0,Power,2,3
11565,S154406,filters,149,7,1,1,111.57,Power,21,3
15789,S654433,filters,93,13,1,1,0,Regular,23,31
13124,S338703,search,173,16,1,0,0,New,28,19
17719,S320573,offers,185,18,0,0,0,New,25,7
11369,S358579,search,410,20,1,0,0,Regular,14,90
17182,S753024,search,434,15,1,1,0,Regular,4,74
14400,S212411,product_view,339,16,0,1,109.44,Regular,14,43
19150,S163739,share,354,3,0,1,96.58,Regular,25,68
15785,S145050,product_view,306,2,1,1,0,Power,9,7
17901,S582564,offers,400,9,1,1,0,Regular,7,7
15487,S250736,filters,119,10,1,1,269.55,VIP,26,1
11913,S843828,recommendations,206,22,1,1,0,Power,27,0
16649,S760665,offers,337,21,0,1,176.57,Regular,14,8
15023,S209311,cart,265,13,0,0,0,Inactive,0,10
13526,S119482,product_view,280,18,1,0,0,Regular,6,55
11100,S556293,product_view,12,25,0,0,0,Inactive,2,85
14707,S576273,product_view,156,15,0,0,0,Inactive,2,71
11424,S510022,filters,379,14,1,0,0,Regular,25,82
10820,S560352,recommendations,261,16,0,0,0,New,28,29
11283,S620155,product_view,279,1,0,1,73.96,New,25,90
17309,S153387,offers,411,8,0,0,0,Regular,0,18
19148,S800134,filters,4,18,0,0,0,Inactive,1,15
11067,S371974,reviews,338,13,0,0,0,Regular,22,46
11090,S217353,product_view,95,16,1,0,0,New,24,89
16511,S781194,filters,360,17,1,0,0,Inactive,2,46
12505,S736356,search,321,14,0,0,0,Inactive,0,37
14461,S491171,offers,293,17,1,1,0,VIP,29,3
12600,S418482,offers,313,9,1,1,0,VIP,9,7
15000,S339659,product_view,33,5,0,0,0,New,24,49
11647,S550126,filters,180,7,0,0,0,Inactive,1,16
17649,S303567,product_view,216,2,1,1,0,Regular,27,3
16333,S884605,recommendations,421,20,0,0,0,Regular,20,72
19679,S499965,product_view,575,16,0,0,0,Regular,15,77
14875,S311354,filters,455,9,0,0,0,Regular,10,14
17360,S895049,product_view,497,24,0,0,0,Inactive,0,75
11804,S958456,product_view,251,9,1,0,0,Regular,7,29
12467,S928326,search,301,9,0,0,0,Regular,21,36
15332,S470462,reviews,46,2,0,1,0,Regular,22,65
16401,S798194,search,551,21,1,1,375.67,VIP,15,1
19176,S399707,filters,123,3,1,1,165.8,VIP,4,3
19451,S675420,offers,168,6,0,0,0,New,6,8
16128,S197543,search,563,2,1,0,0,Regular,11,4
13869,S199342,live_chat,32,25,1,0,0,New,10,67
11398,S844615,product_view,65,6,0,0,0,Inactive,2,40
15132,S771578,share,151,9,0,0,0,Inactive,3,0
18941,S120188,recommendations,568,18,1,1,0,Regular,10,6
17860,S191246,filters,180,25,0,1,133.97,Regular,9,23
10653,S515229,share,172,15,0,0,0,New,25,18
10365,S324411,reviews,519,23,1,1,0,VIP,23,1
17226,S237913,recommendations,236,4,0,1,83.32,New,3,10
13365,S757557,cart,270,9,0,1,0,New,3,58
19485,S323883,recommendations,405,1,1,1,585.0,VIP,8,4
17787,S544519,product_view,113,14,1,0,0,VIP,13,5
12086,S909081,filters,145,8,0,0,0,New,19,75
15480,S780923,offers,345,14,1,0,0,Regular,19,61
18570,S367015,wishlist,157,10,1,1,318.84,Power,30,5
19680,S906484,search,389,13,1,0,0,Regular,22,65
10333,S748410,notifications,49,8,1,0,0,New,1,18
15797,S699450,compare,204,3,0,1,87.02,New,23,13
15590,S601644,recommendations,4,6,1,1,0,Power,9,2
17617,S873666,live_chat,472,4,0,1,45.58,Inactive,1,66
11470,S826796,reviews,289,8,0,0,0,Inactive,1,85
10130,S508548,wishlist,327,12,1,0,0,Regular,4,48
14693,S526894,reviews,515,5,1,0,0,Regular,15,90
19471,S672530,search,455,5,0,1,24.2,New,29,3
16172,S223255,recommendations,228,20,1,0,0,Regular,7,71
10178,S785386,filters,171,20,0,0,0,Regular,19,61
19201,S783991,cart,437,12,0,1,169.0,Regular,6,49
12517,S768158,notifications,133,9,1,1,122.51,Power,9,2
13206,S793873,search,290,5,1,1,97.85,Power,1,4
19409,S991989,search,594,17,0,0,0,Inactive,1,9
11468,S840658,search,187,10,1,0,0,Power,15,2
11322,S533966,offers,448,3,1,1,0,Regular,12,53
15523,S602357,filters,385,18,0,0,0,New,17,63
16803,S311081,product_view,214,8,0,0,0,New,9,82
18552,S348345,product_view,247,6,0,0,0,New,30,71
10403,S947075,notifications,274,11,1,1,167.16,Regular,18,58
18639,S944633,filters,500,24,1,1,369.41,Power,24,3
18910,S151292,offers,179,8,0,1,0,Inactive,3,31
10951,S512744,live_chat,450,5,1,0,0,Regular,26,55
16412,S738863,share,314,18,1,1,0,VIP,3,1
17145,S524858,cart,144,3,1,0,0,Inactive,0,35
12212,S967149,search,87,9,1,1,0,Power,5,6
13945,S747070,share,405,3,1,0,0,VIP,8,4
13998,S164274,offers,54,10,1,1,0,New,24,4
12737,S738693,product_view,71,14,0,0,0,New,10,64
11512,S198323,notifications,401,11,1,0,0,Inactive,1,4
19017,S602594,search,592,23,0,0,0,New,13,25
10659,S657540,filters,395,22,0,0,0,Inactive,2,14
13091,S457076,product_view,222,6,1,1,89.7,Power,24,3
19244,S957082,recommendations,445,16,0,0,0,Inactive,3,82
11583,S582465,offers,191,6,1,0,0,Power,7,1
16916,S972316,recommendations,600,18,1,0,0,Regular,0,54
17208,S504413,share,198,25,1,1,0,VIP,26,3
14671,S100828,offers,442,22,0,1,27.97,Inactive,1,75
15735,S761484,reviews,49,10,1,0,0,New,30,27
16063,S393897,filters,94,11,0,1,0,Inactive,0,11
14871,S638734,search,7,8,1,1,187.05,Regular,9,24
19642,S903537,product_view,109,8,0,0,0,Regular,28,19
19513,S968093,filters,461,13,0,0,0,Inactive,3,40
19087,S108891,offers,378,17,1,0,0,New,24,37
19947,S174386,search,581,15,0,0,0,Inactive,2,86
16602,S195453,filters,94,17,1,0,0,Regular,9,90
10212,S865979,search,134,4,1,1,581.64,VIP,18,2
15276,S641103,search,60,11,1,1,0,VIP,14,1
14778,S906009,product_view,255,4,0,1,344.27,Power,3,7
15237,S879280,product_view,295,15,1,0,0,Inactive,1,90
14489,S980004,offers,302,20,1,0,0,Regular,28,24
18528,S342442,product_view,384,1,0,1,0,Inactive,0,14
12359,S640769,recommendations,76,1,0,0,0,New,5,36
16262,S449863,offers,472,15,1,1,110.44,VIP,1,2
19662,S743878,filters,224,10,0,1,0,Regular,27,34
18325,S208859,cart,166,11,0,1,0,Regular,4,65
14332,S308667,offers,23,24,1,1,0,Regular,21,73
18114,S111366,offers,409,13,1,1,0,Regular,0,38
19958,S314326,search,426,12,0,0,0,New,28,15
15155,S258656,recommendations,61,9,1,1,202.02,VIP,7,1
10282,S571923,product_view,485,1,1,0,0,Regular,29,18
10434,S791890,product_view,582,22,0,0,0,New,17,24
18926,S204304,search,506,12,0,1,152.42,VIP,8,1
17297,S148854,product_view,304,14,1,1,351.39,VIP,22,1
16738,S918009,recommendations,107,6,1,0,0,Inactive,0,0
15702,S250111,search,44,21,1,1,0,Power,23,5
11833,S326085,recommendations,27,7,1,0,0,Regular,23,75
10278,S764678,cart,394,2,1,1,0,Power,7,0
11137,S113061,offers,118,12,1,0,0,Inactive,0,77
17541,S455230,cart,408,22,0,0,0,New,30,9
13603,S167783,offers,518,12,1,0,0,VIP,27,7
14663,S322155,reviews,590,24,0,0,0,Inactive,3,21
11324,S165711,product_view,471,10,1,0,0,New,27,44
12010,S505043,search,508,22,0,0,0,Inactive,1,21
15757,S599527,product_view,425,9,0,1,0,Inactive,1,44
13247,S571765,filters,381,3,1,1,238.41,VIP,21,2
12277,S656106,live_chat,43,23,1,1,0,Regular,30,24
10977,S507104,cart,64,1,0,1,22.39,Inactive,2,68
17948,S521829,cart,524,17,0,0,0,Inactive,1,6
13302,S500913,share,403,16,1,1,500.63,VIP,1,5
11254,S857316,cart,75,19,1,0,0,Regular,22,42
16733,S489366,reviews,206,2,1,1,208.92,Power,16,1
10764,S621480,search,404,6,1,1,0,VIP,4,4
18257,S790006,product_view,193,8,1,0,0,Regular,19,41
15765,S295690,compare,496,18,0,0,0,VIP,14,5
12571,S982237,notifications,298,25,1,0,0,New,7,25
17327,S553979,offers,267,20,0,1,122.25,Regular,21,90
10558,S357234,product_view,77,7,0,1,0,VIP,25,5
18681,S510305,filters,546,15,1,1,0,Regular,13,75
11946,S269801,search,41,16,1,1,0,Regular,22,77
11479,S579183,share,19,14,1,1,604.58,VIP,18,4
15379,S257847,search,433,17,1,0,0,Power,19,7
11996,S126819,share,474,14,0,1,86.67,New,18,50
13977,S976102,cart,504,4,1,1,0,Power,9,6
13111,S611664,product_view,593,25,1,1,0,Power,21,7
11031,S510534,share,204,22,1,1,0,Regular,9,83
13542,S602425,filters,296,6,1,0,0,Power,10,4
11959,S267885,notifications,288,19,1,0,0,Regular,1,9
18827,S758272,product_view,194,12,0,0,0,New,3,25
13616,S104334,filters,557,14,1,0,0,VIP,6,7
13075,S992640,reviews,100,18,1,0,0,Regular,28,46
16364,S204395,share,96,22,0,0,0,Inactive,1,80
18336,S780691,filters,357,24,1,1,20.94,New,18,48
13261,S814815,offers,98,9,0,0,0,New,23,3
17414,S156002,wishlist,150,25,1,0,0,New,26,38
17425,S917588,cart,554,25,1,1,62.08,Regular,1,21
15233,S718644,cart,43,4,1,1,141.93,Power,23,1
10048,S950823,offers,393,13,1,0,0,Power,12,3
10464,S439075,product_view,180,1,0,0,0,New,3,45
18226,S529298,product_view,222,8,1,1,205.14,VIP,24,1
15101,S136727,live_chat,482,13,1,1,514.03,VIP,14,6
12643,S824944,cart,123,9,0,1,0,Regular,18,44
13532,S778145,reviews,367,24,0,1,0,New,14,10
17743,S616783,product_view,424,15,0,0,0,New,30,66
12320,S939654,filters,477,7,1,1,517.79,VIP,19,4
14695,S796983,offers,195,13,1,0,0,Regular,15,46
17961,S512822,cart,163,14,1,0,0,Regular,20,44
14181,S956534,share,475,6,0,0,0,Inactive,3,86
19179,S395586,wishlist,496,10,1,1,0,Regular,11,18
18784,S260670,reviews,43,21,1,0,0,New,3,6
10461,S810287,filters,282,5,1,1,369.06,VIP,2,0
19684,S878200,offers,487,13,1,0,0,Inactive,2,8
15186,S697319,product_view,15,6,1,1,0,Regular,23,54
13418,S505684,share,259,5,0,0,0,Inactive,1,71
16581,S915924,product_view,207,5,0,0,0,Inactive,0,56
16629,S669653,product_view,410,6,1,1,539.8,VIP,22,3
19309,S272145,recommendations,366,4,1,0,0,Inactive,3,2
11244,S654633,reviews,420,10,0,1,0,Regular,19,79
16702,S783844,offers,86,13,0,0,0,Regular,21,7
12189,S892675,product_view,579,17,0,1,163.94,Regular,29,70
10797,S418079,search,143,11,1,0,0,Regular,21,34
10884,S211931,live_chat,345,25,0,1,0,Inactive,0,75
10713,S909142,offers,485,8,1,0,0,New,16,13
19517,S843696,search,476,11,1,1,0,VIP,30,6
14639,S140449,compare,222,4,1,1,509.42,VIP,23,4
17346,S408422,reviews,128,23,1,1,0,VIP,19,7
15067,S701115,offers,343,25,1,1,0,Power,5,5
13020,S911386,cart,249,2,0,0,0,Inactive,2,67
10002,S456778,offers,287,5,0,0,0,New,22,54
15189,S381216,filters,575,22,1,0,0,Regular,19,85
13031,S262959,search,86,15,1,0,0,Regular,23,46
16320,S319420,filters,145,24,1,1,0,Power,18,5
10220,S220294,filters,357,15,1,0,0,Power,15,0
15404,S167183,filters,172,11,0,0,0,Inactive,2,37
18099,S131644,compare,401,16,1,1,0,Regular,26,53
16820,S457851,wishlist,586,19,1,0,0,Inactive,2,89
11663,S481549,reviews,521,11,0,0,0,Regular,25,77
10782,S803848,product_view,281,7,1,0,0,New,22,36
12277,S593368,reviews,342,24,1,1,95.67,Regular,30,24
12683,S973677,recommendations,593,6,1,1,0,Inactive,1,50
12539,S786770,filters,359,11,0,0,0,Inactive,3,46
17667,S101889,recommendations,225,6,1,1,0,Inactive,2,71
14549,S586461,cart,569,25,1,1,99.77,Regular,14,85
15431,S918379,recommendations,390,22,1,0,0,Inactive,2,64
12303,S994267,recommendations,164,6,0,0,0,Inactive,2,72
11909,S602777,search,386,1,0,1,0,Regular,0,63
12755,S936986,product_view,302,24,1,1,39.15,Regular,8,39
19610,S519661,search,345,25,0,0,0,Regular,17,18
14092,S261600,filters,526,1,1,0,0,New,19,57
15653,S109715,offers,284,16,0,0,0,Inactive,2,45
14561,S266980,search,104,23,1,1,0,VIP,2,1
13725,S130109,reviews,87,13,1,0,0,Power,14,0
10383,S659383,offers,386,23,1,0,0,Inactive,3,32
11911,S170591,reviews,362,10,0,0,0,Inactive,2,78
10199,S335217,reviews,137,7,0,1,0,VIP,0,3
19663,S106372,filters,169,14,1,1,515.28,VIP,8,4
16298,S726449,notifications,176,22,1,1,0,Power,16,1
11809,S561755,product_view,139,14,0,1,0,New,5,61
15424,S695583,product_view,509,25,1,1,0,Power,16,5
15308,S831986,share,46,15,1,0,0,VIP,20,4
11531,S710637,offers,40,16,1,1,316.99,VIP,12,5
14061,S116003,search,259,11,0,0,0,Regular,25,38
11276,S492435,product_view,482,2,0,0,0,Regular,30,0
12315,S332834,filters,203,14,0,0,0,Inactive,1,46
10810,S384922,recommendations,213,22,1,1,0,New,24,48
13972,S231495,search,437,8,1,1,0,Regular,16,34
18345,S800373,search,481,17,0,0,0,Inactive,0,51
11321,S796713,cart,250,7,1,1,0,Power,18,2
12335,S103335,recommendations,579,17,0,1,26.42,Inactive,3,46
12599,S472979,search,342,19,0,0,0,Inactive,2,52
13525,S455882,search,430,1,0,0,0,Inactive,0,49
10758,S747454,product_view,75,5,0,0,0,Inactive,0,43
11743,S873499,share,248,2,0,0,0,New,12,9
12318,S210738,filters,328,4,1,1,0,Regular,11,79
10593,S837435,offers,369,3,1,0,0,Regular,7,37
16091,S775309,search,573,23,1,1,0,VIP,3,2
10893,S647579,offers,305,5,0,0,0,Inactive,3,11
19966,S979867,reviews,566,10,1,0,0,Regular,10,83
19784,S902139,product_view,108,18,0,0,0,New,0,80
19801,S903263,reviews,140,9,1,0,0,New,19,9
11957,S563071,reviews,572,22,1,1,167.51,Regular,28,48
13534,S974516,cart,460,6,0,1,0,Inactive,0,39
11337,S988209,recommendations,70,9,0,0,0,Inactive,3,47
19564,S346433,offers,356,4,0,0,0,Regular,1,60
17422,S744147,share,446,3,1,0,0,VIP,4,6
15494,S568487,filters,429,12,0,0,0,New,5,76
18695,S457925,wishlist,294,2,1,0,0,Regular,13,50
18831,S592240,offers,298,19,0,1,81.65,Regular,7,50
13069,S659770,cart,212,1,0,0,0,New,19,32
11486,S495858,product_view,253,8,1,0,0,Regular,16,76
12863,S140580,offers,329,4,1,0,0,VIP,24,6
11809,S374127,offers,223,20,0,1,76.44,New,5,61
17074,S323120,live_chat,131,20,1,0,0,New,25,70
10919,S107971,search,201,10,1,1,0,Regular,21,36
18874,S132636,product_view,29,9,0,1,0,New,13,85
18564,S427258,recommendations,29,18,1,0,0,Inactive,1,45
12591,S468558,compare,382,14,1,0,0,New,11,6
12330,S188120,filters,316,24,1,1,607.36,VIP,22,3
10884,S535182,search,117,18,0,1,0,Inactive,0,75
19051,S527861,product_view,529,1,1,1,0,VIP,16,2
16409,S555300,reviews,331,12,1,0,0,Inactive,1,44
19821,S708455,search,147,19,1,0,0,Inactive,0,15
17912,S709366,recommendations,116,1,0,0,0,Inactive,3,61
11863,S121946,cart,344,5,0,0,0,New,19,76
19603,S724404,filters,144,19,0,0,0,New,26,39
15038,S357364,product_view,443,1,1,0,0,Power,10,0
17165,S124335,offers,374,4,0,1,125.6,Regular,5,70
15786,S959033,filters,272,11,1,1,311.31,Power,25,4
16085,S783675,filters,585,3,1,0,0,New,12,80
19836,S245793,recommendations,257,9,1,1,0,Power,1,3
14433,S958771,search,512,24,0,0,0,Power,21,0
13427,S742810,search,394,19,0,0,0,Regular,17,25
15385,S737263,search,588,6,0,0,0,Regular,10,16
15623,S315640,filters,417,4,0,1,0,New,17,78
18655,S750179,offers,312,13,0,0,0,New,17,30
18061,S339274,filters,358,17,1,0,0,Power,6,0
16386,S599044,cart,378,21,0,0,0,Inactive,1,26
11449,S937337,filters,314,12,1,1,0,Regular,19,33
19973,S575537,offers,172,23,1,1,0,VIP,18,2
19937,S130883,cart,159,25,1,1,138.81,Power,2,5
14054,S115230,wishlist,252,9,0,0,0,Inactive,1,62
13232,S347416,share,68,24,1,0,0,Power,5,2
14330,S535342,cart,504,8,1,1,0,Inactive,1,50
18667,S526796,search,589,4,0,0,0,Inactive,3,68
15921,S707484,recommendations,463,11,1,0,0,Regular,30,59
14511,S286376,filters,68,9,1,1,58.36,Power,17,3
11577,S269371,product_view,108,11,0,0,0,New,24,61
16725,S981990,cart,303,8,0,1,37.81,New,13,6
12229,S725008,recommendations,215,6,1,1,202.07,VIP,17,1
10085,S596395,filters,262,2,1,1,0,New,12,69
15864,S331886,share,140,7,0,0,0,New,25,81
10011,S455784,filters,114,8,0,0,0,New,20,12
12965,S384409,filters,403,7,1,1,347.64,Power,18,0
19162,S348331,product_view,135,25,0,0,0,New,21,50
18835,S883069,offers,511,19,1,1,0,Regular,17,80
13314,S583980,search,554,25,1,1,0,VIP,8,6
12955,S104356,search,399,23,1,0,0,New,2,61
16459,S153206,filters,83,17,1,1,0,Regular,2,51
19674,S109624,share,62,11,1,0,0,Inactive,3,5
15161,S740260,search,470,15,1,1,0,New,0,13
12645,S795376,product_view,580,18,0,0,0,New,3,19
12946,S266446,search,182,14,0,0,0,Inactive,0,4
12083,S142871,filters,29,3,0,0,0,Regular,23,1
19898,S801515,filters,414,3,1,0,0,VIP,2,1
18161,S616032,product_view,113,14,0,0,0,Power,0,5
