order_id,product,category,quantity,unit_price,discount_percent,discount_amount,revenue,cogs,shipping_cost,returned,return_cost,support_ticket,support_cost,channel,marketing_cost,customer_segment,true_profit
64454,Running Shoes,Fashion,2,89,10.0,17.8,160.2,44,6.69,0,0,0,0,organic,0.0,New Customer,109.51
50107,Running Shoes,Fashion,1,89,1.0,0.89,88.11,22,4.14,0,0,0,0,email,2.98,Returning,58.99
56846,Fitness Tracker,Health,1,79,9.0,7.11,71.89,22,5.23,0,0,0,0,paid_ads,17.25,New Customer,27.41
55313,Yoga Mat Premium,Health,2,39,14.0,10.92,67.08,16,14.63,0,0,0,0,paid_ads,14.23,One-Time Buyer,22.22
64209,Skincare Kit,Beauty,1,65,34.0,22.1,42.9,12,4.02,0,0,0,0,email,1.59,Discount Hunter,25.29
55139,Face Serum,Beauty,2,45,4.0,3.6,86.4,12,6.3,0,0,0,0,organic,0.0,VIP,68.1
54513,Running Shoes,Fashion,1,89,15.0,13.35,75.65,22,2.44,1,10.43,0,0,organic,0.0,One-Time Buyer,-27.31
58969,Denim Jacket,Fashion,2,79,26.0,41.08,116.92,56,7.84,0,0,0,0,organic,0.0,Discount Hunter,53.08
54619,Face Serum,Beauty,2,45,1.0,0.9,89.1,12,8.61,0,0,0,0,social_media,11.38,Returning,57.11
64993,Smart Water Bottle,Health,1,45,30.0,13.5,31.5,14,3.95,1,16.82,0,0,paid_ads,6.88,Discount Hunter,-38.5
61873,Phone Case Premium,Electronics,1,29,2.0,0.58,28.42,3,4.91,0,0,0,0,email,0.84,VIP,19.67
57884,USB-C Hub,Electronics,1,49,44.0,21.56,27.44,12,3.23,0,0,0,0,organic,0.0,Discount Hunter,12.21
51539,Wireless Earbuds Pro,Electronics,3,79,3.0,7.11,229.89,54,17.65,0,0,0,0,email,7.37,VIP,150.87
57991,Resistance Bands Set,Health,2,22,42.0,18.48,25.52,8,12.64,0,0,0,0,organic,0.0,Discount Hunter,4.88
51227,Wireless Earbuds Pro,Electronics,2,79,6.0,9.48,148.52,36,14.8,1,14.63,0,0,referral,11.79,Returning,-62.37
53950,Bluetooth Speaker,Electronics,1,99,8.0,7.92,91.08,25,4.11,1,7.2,0,0,referral,6.27,One-Time Buyer,-33.47
52255,Denim Jacket,Fashion,2,79,38.0,60.04,97.96,56,7.38,1,18.34,0,0,paid_ads,31.72,Discount Hunter,-103.64
59894,Smart Water Bottle,Health,1,45,5.0,2.25,42.75,14,4.27,1,7.43,0,0,organic,0.0,Returning,-21.43
54143,Skincare Kit,Beauty,1,65,10.0,6.5,58.5,12,2.76,0,0,0,0,organic,0.0,Returning,43.74
57188,Cotton T-Shirt Pack,Fashion,2,24,31.0,14.88,33.12,10,6.94,0,0,0,0,organic,0.0,Discount Hunter,16.18
56724,Skincare Kit,Beauty,2,65,31.0,40.3,89.7,24,8.65,0,0,0,0,referral,7.3,Discount Hunter,49.75
63120,Bluetooth Speaker,Electronics,3,99,4.0,11.88,285.12,75,20.96,0,0,0,0,referral,22.01,VIP,167.15
56636,Wireless Earbuds Pro,Electronics,1,79,18.0,14.22,64.78,18,6.79,1,12.38,0,0,email,2.4,One-Time Buyer,-33.09
59814,Fitness Tracker,Health,2,79,6.0,9.48,148.52,44,10.25,0,0,0,0,social_media,20.82,New Customer,73.45
64614,Makeup Brush Set,Beauty,1,19,9.0,1.71,17.29,3,2.58,0,0,0,0,organic,0.0,One-Time Buyer,11.71
55411,Wireless Earbuds Pro,Electronics,2,79,20.0,31.6,126.4,36,11.9,0,0,0,0,social_media,16.36,One-Time Buyer,62.14
54665,Running Shoes,Fashion,1,89,2.0,1.78,87.22,22,4.17,0,0,0,0,referral,6.57,Returning,54.48
63178,Smart Water Bottle,Health,1,45,10.0,4.5,40.5,14,4.43,0,0,1,22.6,organic,0.0,New Customer,-0.53
61117,Running Shoes,Fashion,2,89,0.0,0.0,178.0,44,9.53,0,0,1,20.71,organic,0.0,Returning,103.76
57591,Resistance Bands Set,Health,2,22,3.0,1.32,42.68,8,13.32,0,0,0,0,social_media,6.42,Returning,14.94
62029,Skincare Kit,Beauty,2,65,8.0,10.4,119.6,24,9.22,0,0,0,0,paid_ads,35.45,New Customer,50.93
58690,Fitness Tracker,Health,1,79,7.0,5.53,73.47,22,5.99,0,0,0,0,paid_ads,19.47,New Customer,26.01
64767,Cotton T-Shirt Pack,Fashion,1,24,16.0,3.84,20.16,5,3.6,0,0,0,0,paid_ads,4.25,One-Time Buyer,7.31
55074,Denim Jacket,Fashion,3,79,8.0,18.96,218.04,84,6.55,0,0,0,0,organic,0.0,One-Time Buyer,127.49
60394,Cotton T-Shirt Pack,Fashion,2,24,9.0,4.32,43.68,10,9.21,0,0,0,0,paid_ads,12.36,Returning,12.11
55025,Hair Dryer,Beauty,2,69,41.0,56.58,81.42,36,4.76,0,0,1,14.92,referral,6.86,Discount Hunter,18.88
63569,Makeup Brush Set,Beauty,1,19,37.0,7.03,11.97,3,2.23,0,0,0,0,referral,0.84,Discount Hunter,5.9
50145,Perfume Set,Beauty,1,55,7.0,3.85,51.15,8,4.92,0,0,0,0,organic,0.0,Returning,38.23
51810,Denim Jacket,Fashion,2,79,13.0,20.54,137.46,56,6.02,0,0,0,0,social_media,15.54,New Customer,59.9
50174,Hair Dryer,Beauty,1,69,42.0,28.98,40.02,18,3.1,0,0,0,0,organic,0.0,Discount Hunter,18.92
64263,Yoga Mat Premium,Health,1,39,41.0,15.99,23.01,8,4.93,0,0,0,0,paid_ads,6.06,Discount Hunter,4.02
63863,Running Shoes,Fashion,1,89,27.0,24.03,64.97,22,4.72,1,11.23,0,0,paid_ads,17.87,Discount Hunter,-49.32
53629,Bluetooth Speaker,Electronics,2,99,8.0,15.84,182.16,50,13.41,0,0,0,0,email,6.74,One-Time Buyer,112.01
54046,Cotton T-Shirt Pack,Fashion,1,24,13.0,3.12,20.88,5,2.98,0,0,0,0,organic,0.0,New Customer,12.9
57959,USB-C Hub,Electronics,2,49,6.0,5.88,92.12,24,9.26,0,0,0,0,organic,0.0,Returning,58.86
50498,Face Serum,Beauty,2,45,10.0,9.0,81.0,12,4.88,0,0,0,0,email,2.1,One-Time Buyer,62.02
58386,USB-C Hub,Electronics,1,49,10.0,4.9,44.1,12,4.53,0,0,0,0,email,1.61,New Customer,25.96
53612,USB-C Hub,Electronics,1,49,2.0,0.98,48.02,12,3.53,0,0,0,0,social_media,6.53,Returning,25.96
60678,Cotton T-Shirt Pack,Fashion,1,24,17.0,4.08,19.92,5,2.28,0,0,0,0,organic,0.0,One-Time Buyer,12.64
58337,Bluetooth Speaker,Electronics,1,99,4.0,3.96,95.04,25,5.21,0,0,1,9.49,paid_ads,25.67,VIP,29.67
53492,Cotton T-Shirt Pack,Fashion,1,24,4.0,0.96,23.04,5,3.71,1,13.44,0,0,organic,0.0,Returning,-19.85
50248,Bluetooth Speaker,Electronics,1,99,2.0,1.98,97.02,25,4.55,1,7.51,0,0,paid_ads,24.25,VIP,-51.61
56324,Running Shoes,Fashion,1,89,6.0,5.34,83.66,22,4.07,0,0,0,0,paid_ads,18.33,New Customer,39.26
64534,Denim Jacket,Fashion,1,79,9.0,7.11,71.89,28,3.61,0,0,0,0,paid_ads,18.36,One-Time Buyer,21.92
58447,Running Shoes,Fashion,2,89,11.0,19.58,158.42,44,9.62,1,14.23,0,0,organic,0.0,New Customer,-52.01
51062,Wireless Earbuds Pro,Electronics,2,79,2.0,3.16,154.84,36,13.58,0,0,0,0,social_media,14.93,Returning,90.33
56687,Backpack,Fashion,3,59,11.0,19.47,157.53,42,7.55,0,0,0,0,organic,0.0,One-Time Buyer,107.98
50160,Fitness Tracker,Health,2,79,3.0,4.74,153.26,44,12.43,0,0,0,0,social_media,14.92,Returning,81.91
53593,Sunglasses,Fashion,1,35,22.0,7.7,27.3,4,2.49,0,0,0,0,paid_ads,8.39,Discount Hunter,12.42
53279,Wireless Earbuds Pro,Electronics,1,79,41.0,32.39,46.61,18,3.02,0,0,0,0,paid_ads,13.87,Discount Hunter,11.72
55234,Smart Water Bottle,Health,1,45,6.0,2.7,42.3,14,6.44,0,0,0,0,email,1.64,One-Time Buyer,20.22
54756,Makeup Brush Set,Beauty,1,19,12.0,2.28,16.72,3,4.41,0,0,0,0,social_media,2.48,New Customer,6.83
60923,Skincare Kit,Beauty,1,65,41.0,26.65,38.35,12,3.39,0,0,0,0,email,1.18,Discount Hunter,21.78
60524,Resistance Bands Set,Health,1,22,21.0,4.62,17.38,4,4.99,0,0,0,0,referral,1.59,Discount Hunter,6.8
63986,Denim Jacket,Fashion,2,79,8.0,12.64,145.36,56,7.05,1,11.62,0,0,paid_ads,46.99,Returning,-107.12
64623,Cotton T-Shirt Pack,Fashion,2,24,3.0,1.44,46.56,10,9.15,0,0,0,0,paid_ads,9.75,Returning,17.66
52851,Perfume Set,Beauty,1,55,16.0,8.8,46.2,8,3.82,0,0,0,0,email,1.28,One-Time Buyer,33.1
50168,Yoga Mat Premium,Health,2,39,13.0,10.14,67.86,16,7.59,0,0,0,0,social_media,7.01,One-Time Buyer,37.26
53565,USB-C Hub,Electronics,1,49,10.0,4.9,44.1,12,6.44,0,0,0,0,referral,4.29,New Customer,21.37
64109,Fitness Tracker,Health,3,79,1.0,2.37,234.63,66,10.91,0,0,1,21.85,organic,0.0,Returning,135.87
55381,Running Shoes,Fashion,1,89,31.0,27.59,61.41,22,2.49,0,0,0,0,email,1.96,Discount Hunter,34.96
57147,Smart Water Bottle,Health,1,45,3.0,1.35,43.65,14,4.54,0,0,0,0,organic,0.0,VIP,25.11
50101,Fitness Tracker,Health,1,79,42.0,33.18,45.82,22,4.18,0,0,0,0,organic,0.0,Discount Hunter,19.64
55833,Yoga Mat Premium,Health,1,39,13.0,5.07,33.93,8,4.26,0,0,0,0,organic,0.0,New Customer,21.67
56486,Phone Case Premium,Electronics,3,29,15.0,13.05,73.95,9,21.78,0,0,0,0,email,2.37,One-Time Buyer,40.8
58265,Smart Water Bottle,Health,2,45,4.0,3.6,86.4,28,13.77,0,0,0,0,social_media,11.78,Returning,32.85
57589,Denim Jacket,Fashion,1,79,19.0,15.01,63.99,28,4.99,1,13.89,0,0,social_media,6.73,One-Time Buyer,-47.21
59397,Face Serum,Beauty,1,45,0.0,0.0,45.0,6,3.07,0,0,0,0,organic,0.0,Returning,35.93
59987,Running Shoes,Fashion,2,89,0.0,0.0,178.0,44,6.54,0,0,0,0,paid_ads,56.43,Returning,71.03
53636,Wireless Earbuds Pro,Electronics,1,79,4.0,3.16,75.84,18,4.52,0,0,0,0,social_media,7.48,Returning,45.84
52694,Face Serum,Beauty,1,45,15.0,6.75,38.25,6,2.4,0,0,0,0,organic,0.0,New Customer,29.85
56116,Smart Water Bottle,Health,1,45,10.0,4.5,40.5,14,4.11,1,14.85,0,0,email,1.4,New Customer,-30.31
58803,Running Shoes,Fashion,2,89,8.0,14.24,163.76,44,8.27,0,0,0,0,paid_ads,37.39,New Customer,74.1
60374,Cotton T-Shirt Pack,Fashion,1,24,15.0,3.6,20.4,5,2.23,0,0,0,0,referral,1.91,One-Time Buyer,11.26
58384,Running Shoes,Fashion,1,89,12.0,10.68,78.32,22,2.58,0,0,1,19.25,organic,0.0,New Customer,34.49
60282,Cotton T-Shirt Pack,Fashion,1,24,7.0,1.68,22.32,5,4.37,0,0,0,0,organic,0.0,Returning,12.95
64925,Yoga Mat Premium,Health,1,39,12.0,4.68,34.32,8,4.42,0,0,0,0,social_media,4.96,One-Time Buyer,16.94
56370,Bluetooth Speaker,Electronics,1,99,7.0,6.93,92.07,25,4.07,0,0,1,13.59,organic,0.0,Returning,49.41
62521,Bluetooth Speaker,Electronics,3,99,14.0,41.58,255.42,75,10.49,0,0,1,11.58,email,8.76,New Customer,149.59
55408,Running Shoes,Fashion,1,89,3.0,2.67,86.33,22,2.89,0,0,0,0,social_media,12.81,VIP,48.63
63606,Cotton T-Shirt Pack,Fashion,2,24,2.0,0.96,47.04,10,9.5,1,14.88,0,0,paid_ads,10.65,VIP,-40.33
56495,Hair Dryer,Beauty,1,69,6.0,4.14,64.86,18,4.55,0,0,0,0,email,2.41,Returning,39.9
53709,Bluetooth Speaker,Electronics,1,99,1.0,0.99,98.01,25,7.41,0,0,0,0,email,2.49,Returning,63.11
59968,Wireless Earbuds Pro,Electronics,1,79,6.0,4.74,74.26,18,3.56,0,0,1,20.83,social_media,10.28,Returning,21.59
62163,Running Shoes,Fashion,1,89,0.0,0.0,89.0,22,3.14,0,0,0,0,organic,0.0,Returning,63.86
64186,Wireless Earbuds Pro,Electronics,2,79,1.0,1.58,156.42,36,12.2,0,0,0,0,referral,10.39,Returning,97.83
52735,Makeup Brush Set,Beauty,1,19,11.0,2.09,16.91,3,4.16,0,0,0,0,email,0.42,One-Time Buyer,9.33
50615,Makeup Brush Set,Beauty,2,19,3.0,1.14,36.86,6,6.52,0,0,0,0,organic,0.0,VIP,24.34
56654,Phone Case Premium,Electronics,1,29,11.0,3.19,25.81,3,7.58,0,0,0,0,paid_ads,5.54,New Customer,9.69
63548,Bluetooth Speaker,Electronics,2,99,32.0,63.36,134.64,50,12.06,1,13.98,0,0,paid_ads,35.77,Discount Hunter,-98.35
63109,Wireless Earbuds Pro,Electronics,2,79,0.0,0.0,158.0,36,10.21,1,12.96,0,0,organic,0.0,Returning,-43.37
57653,Fitness Tracker,Health,2,79,2.0,3.16,154.84,44,10.72,1,12.21,1,8.48,paid_ads,48.37,VIP,-108.3
53253,Running Shoes,Fashion,1,89,44.0,39.16,49.84,22,4.46,1,8.38,0,0,referral,4.02,Discount Hunter,-33.88
61445,Sunglasses,Fashion,3,35,15.0,15.75,89.25,12,6.24,0,0,0,0,paid_ads,20.96,One-Time Buyer,50.05
63673,Perfume Set,Beauty,1,55,5.0,2.75,52.25,8,4.35,0,0,0,0,email,1.62,One-Time Buyer,38.28
57232,Phone Case Premium,Electronics,1,29,39.0,11.31,17.69,3,4.26,1,17.03,0,0,email,0.48,Discount Hunter,-23.0
60360,Running Shoes,Fashion,1,89,42.0,37.38,51.62,22,2.15,1,10.69,0,0,social_media,5.0,Discount Hunter,-34.68
50333,Yoga Mat Premium,Health,1,39,3.0,1.17,37.83,8,6.08,0,0,0,0,paid_ads,9.97,Returning,13.78
61415,Phone Case Premium,Electronics,1,29,20.0,5.8,23.2,3,7.76,0,0,0,0,paid_ads,5.68,One-Time Buyer,6.76
60863,Yoga Mat Premium,Health,2,39,0.0,0.0,78.0,16,8.04,0,0,0,0,paid_ads,16.46,VIP,37.5
57865,USB-C Hub,Electronics,2,49,9.0,8.82,89.18,24,6.53,0,0,1,21.27,social_media,10.69,Returning,26.69
56698,Skincare Kit,Beauty,1,65,28.0,18.2,46.8,12,2.99,0,0,0,0,organic,0.0,Discount Hunter,31.81
51681,Wireless Earbuds Pro,Electronics,1,79,11.0,8.69,70.31,18,5.74,0,0,0,0,social_media,6.9,New Customer,39.67
50982,Face Serum,Beauty,1,45,10.0,4.5,40.5,6,2.16,0,0,0,0,paid_ads,12.7,New Customer,19.64
53981,USB-C Hub,Electronics,2,49,3.0,2.94,95.06,24,9.12,0,0,0,0,paid_ads,28.14,Returning,33.8
59022,Wireless Earbuds Pro,Electronics,1,79,5.0,3.95,75.05,18,7.72,1,9.93,1,22.83,email,2.09,New Customer,-53.06
55235,Backpack,Fashion,1,59,8.0,4.72,54.28,14,3.34,0,0,0,0,paid_ads,14.19,Returning,22.75
62074,Protein Powder,Health,2,49,7.0,6.86,91.14,30,8.17,0,0,0,0,paid_ads,19.87,New Customer,33.1
64683,Perfume Set,Beauty,1,55,11.0,6.05,48.95,8,3.74,1,14.9,0,0,organic,0.0,New Customer,-21.75
54115,Phone Case Premium,Electronics,2,29,6.0,3.48,54.52,6,9.55,0,0,0,0,organic,0.0,New Customer,38.97
58696,Skincare Kit,Beauty,3,65,14.0,27.3,167.7,36,8.16,0,0,0,0,social_media,17.48,New Customer,106.06
51826,Resistance Bands Set,Health,2,22,4.0,1.76,42.24,8,7.78,0,0,0,0,paid_ads,10.07,VIP,16.39
63925,Cotton T-Shirt Pack,Fashion,1,24,31.0,7.44,16.56,5,2.93,0,0,0,0,social_media,1.9,Discount Hunter,6.73
52139,USB-C Hub,Electronics,1,49,9.0,4.41,44.59,12,7.4,0,0,0,0,paid_ads,13.86,Returning,11.33
61676,Running Shoes,Fashion,1,89,12.0,10.68,78.32,22,3.42,0,0,1,13.14,social_media,11.81,New Customer,27.95
64923,Yoga Mat Premium,Health,1,39,2.0,0.78,38.22,8,4.43,0,0,0,0,social_media,3.9,VIP,21.89
53929,USB-C Hub,Electronics,1,49,11.0,5.39,43.61,12,7.65,0,0,0,0,email,1.09,New Customer,22.87
53883,Fitness Tracker,Health,2,79,7.0,11.06,146.94,44,9.42,0,0,0,0,email,5.46,New Customer,88.06
59586,Denim Jacket,Fashion,1,79,11.0,8.69,70.31,28,4.17,0,0,0,0,social_media,6.75,New Customer,31.39
60600,Running Shoes,Fashion,1,89,42.0,37.38,51.62,22,4.87,0,0,0,0,social_media,5.36,Discount Hunter,19.39
63406,Cotton T-Shirt Pack,Fashion,2,24,5.0,2.4,45.6,10,4.05,0,0,0,0,organic,0.0,Returning,31.55
58451,Running Shoes,Fashion,1,89,17.0,15.13,73.87,22,4.43,1,8.05,0,0,referral,5.47,One-Time Buyer,-32.56
61018,Wireless Earbuds Pro,Electronics,1,79,32.0,25.28,53.72,18,4.48,0,0,0,0,social_media,8.17,Discount Hunter,23.07
51407,Makeup Brush Set,Beauty,3,19,13.0,7.41,49.59,9,9.53,0,0,0,0,email,1.37,New Customer,29.69
50993,Bluetooth Speaker,Electronics,1,99,6.0,5.94,93.06,25,5.71,0,0,0,0,paid_ads,29.73,Returning,32.62
52681,Wireless Earbuds Pro,Electronics,2,79,36.0,56.88,101.12,36,9.12,0,0,1,12.48,social_media,13.39,Discount Hunter,30.13
57237,Wireless Earbuds Pro,Electronics,1,79,8.0,6.32,72.68,18,4.77,0,0,0,0,referral,5.48,One-Time Buyer,44.43
55894,Running Shoes,Fashion,1,89,40.0,35.6,53.4,22,4.1,0,0,0,0,organic,0.0,Discount Hunter,27.3
62565,Cotton T-Shirt Pack,Fashion,2,24,4.0,1.92,46.08,10,5.99,1,16.78,0,0,paid_ads,14.79,Returning,-42.95
52067,Protein Powder,Health,2,49,16.0,15.68,82.32,30,14.32,0,0,1,9.62,email,2.64,One-Time Buyer,25.74
53089,Makeup Brush Set,Beauty,1,19,15.0,2.85,16.15,3,3.89,0,0,0,0,organic,0.0,New Customer,9.26
61455,Running Shoes,Fashion,1,89,7.0,6.23,82.77,22,2.11,0,0,0,0,organic,0.0,New Customer,58.66
62094,Face Serum,Beauty,1,45,5.0,2.25,42.75,6,4.37,0,0,0,0,email,1.33,Returning,31.05
57711,Running Shoes,Fashion,1,89,40.0,35.6,53.4,22,4.41,1,10.0,0,0,social_media,6.58,Discount Hunter,-37.65
63895,Fitness Tracker,Health,2,79,28.0,44.24,113.76,44,8.98,0,0,0,0,paid_ads,23.92,Discount Hunter,36.86
52708,Resistance Bands Set,Health,1,22,14.0,3.08,18.92,4,3.95,0,0,0,0,social_media,2.4,One-Time Buyer,8.57
54882,Denim Jacket,Fashion,1,79,44.0,34.76,44.24,28,2.94,0,0,0,0,paid_ads,9.6,Discount Hunter,3.7
55168,Skincare Kit,Beauty,2,65,2.0,2.6,127.4,24,9.36,0,0,0,0,organic,0.0,Returning,94.04
50532,Hair Dryer,Beauty,1,69,13.0,8.97,60.03,18,3.55,1,6.93,0,0,organic,0.0,One-Time Buyer,-22.48
59680,Wireless Earbuds Pro,Electronics,1,79,2.0,1.58,77.42,18,4.86,0,0,0,0,organic,0.0,Returning,54.56
63281,Face Serum,Beauty,1,45,7.0,3.15,41.85,6,4.56,0,0,0,0,paid_ads,12.21,One-Time Buyer,19.08
58681,Bluetooth Speaker,Electronics,1,99,12.0,11.88,87.12,25,4.41,0,0,0,0,organic,0.0,New Customer,57.71
50257,Bluetooth Speaker,Electronics,1,99,9.0,8.91,90.09,25,7.34,0,0,1,15.1,social_media,10.89,Returning,31.76
