order_id,line_item_id,product_sku,product_name,product_category,variant_title,quantity,unit_price,line_total
NB-5014,LI-00042,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5014,LI-00043,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,3,32.99,98.97
NB-5015,LI-00044,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5015,LI-00045,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,2,19.99,39.98
NB-5016,LI-00046,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,3,17.99,53.97
NB-5016,LI-00047,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5017,LI-00048,CB-002,Colombian Supremo Blend,Coffee Beans,,4,16.99,67.96
NB-5017,LI-00049,AC-002,Insulated Travel Tumbler (16oz),Accessories,,2,24.99,49.98
NB-5018,LI-00050,AC-004,Precision Coffee Scale with Timer,Accessories,,2,29.99,59.98
NB-5018,LI-00051,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,1,8.99,8.99
NB-5018,LI-00052,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,4,32.99,131.96
NB-5018,LI-00053,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,2,32.99,65.98
NB-5019,LI-00054,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5019,LI-00055,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,2,24.99,49.98
NB-5019,LI-00056,AC-008,Latte Art Pitcher (12oz),Accessories,,3,16.99,50.97
NB-5020,LI-00057,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5021,LI-00058,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,2,19.99,39.98
NB-5021,LI-00059,EQ-006,AeroPress Original Kit,Brewing Equipment,,3,39.99,119.97
NB-5021,LI-00060,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5021,LI-00061,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,4,19.99,79.96
NB-5022,LI-00062,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,1,17.99,17.99
NB-5022,LI-00063,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,1,29.99,29.99
NB-5022,LI-00064,AC-008,Latte Art Pitcher (12oz),Accessories,,2,16.99,33.98
NB-5023,LI-00065,AC-007,Coffee Bean Storage Canister,Accessories,,3,22.99,68.97
NB-5024,LI-00066,AC-002,Insulated Travel Tumbler (16oz),Accessories,,1,24.99,24.99
NB-5024,LI-00067,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5024,LI-00068,AC-005,NovaBrew Canvas Tote Bag,Accessories,,2,19.99,39.98
NB-5025,LI-00069,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,3,24.99,74.97
NB-5025,LI-00070,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,2,8.99,17.98
NB-5026,LI-00071,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5026,LI-00072,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5027,LI-00073,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,3,54.99,164.97
NB-5027,LI-00074,CB-002,Colombian Supremo Blend,Coffee Beans,,2,16.99,33.98
NB-5027,LI-00075,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5027,LI-00076,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5027,LI-00077,AC-007,Coffee Bean Storage Canister,Accessories,,4,22.99,91.96
NB-5028,LI-00078,AC-007,Coffee Bean Storage Canister,Accessories,,1,22.99,22.99
NB-5028,LI-00079,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,2,34.99,69.98
NB-5029,LI-00080,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5030,LI-00081,CB-002,Colombian Supremo Blend,Coffee Beans,,2,16.99,33.98
NB-5031,LI-00082,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5031,LI-00083,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,2,14.99,29.98
NB-5031,LI-00084,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5032,LI-00085,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,1,14.99,14.99
NB-5033,LI-00086,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5033,LI-00087,AC-008,Latte Art Pitcher (12oz),Accessories,,1,16.99,16.99
NB-5033,LI-00088,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5033,LI-00089,AC-008,Latte Art Pitcher (12oz),Accessories,,4,16.99,67.96
NB-5033,LI-00090,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,1,8.99,8.99
NB-5034,LI-00091,AC-008,Latte Art Pitcher (12oz),Accessories,,3,16.99,50.97
NB-5034,LI-00092,AC-002,Insulated Travel Tumbler (16oz),Accessories,,3,24.99,74.97
NB-5034,LI-00093,AC-007,Coffee Bean Storage Canister,Accessories,,2,22.99,45.98
NB-5035,LI-00094,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,2,54.99,109.98
NB-5035,LI-00095,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5035,LI-00096,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5035,LI-00097,AC-002,Insulated Travel Tumbler (16oz),Accessories,,1,24.99,24.99
NB-5035,LI-00098,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5036,LI-00099,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5036,LI-00100,AC-004,Precision Coffee Scale with Timer,Accessories,,2,29.99,59.98
NB-5037,LI-00101,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5037,LI-00102,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5038,LI-00103,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,3,18.99,56.97
NB-5038,LI-00104,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5039,LI-00105,AC-003,Reusable Stainless Steel Filter,Accessories,,2,12.99,25.98
NB-5039,LI-00106,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,2,24.99,49.98
NB-5039,LI-00107,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,2,89.99,179.98
NB-5039,LI-00108,CB-004,Kenya AA Single Origin,Coffee Beans,,1,19.99,19.99
NB-5040,LI-00109,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5040,LI-00110,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,2,16.99,33.98
NB-5040,LI-00111,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,2,24.99,49.98
NB-5040,LI-00112,AC-005,NovaBrew Canvas Tote Bag,Accessories,,4,19.99,79.96
NB-5040,LI-00113,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5041,LI-00114,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5041,LI-00115,AC-003,Reusable Stainless Steel Filter,Accessories,,2,12.99,25.98
NB-5041,LI-00116,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5042,LI-00117,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5042,LI-00118,AC-008,Latte Art Pitcher (12oz),Accessories,,2,16.99,33.98
NB-5042,LI-00119,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,3,18.99,56.97
NB-5042,LI-00120,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5043,LI-00121,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,2,29.99,59.98
NB-5043,LI-00122,AC-008,Latte Art Pitcher (12oz),Accessories,,2,16.99,33.98
NB-5044,LI-00123,AC-002,Insulated Travel Tumbler (16oz),Accessories,,3,24.99,74.97
NB-5044,LI-00124,CB-006,Espresso Roast Whole Bean,Coffee Beans,,3,17.49,52.47
NB-5045,LI-00125,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5045,LI-00126,AC-005,NovaBrew Canvas Tote Bag,Accessories,,2,19.99,39.98
NB-5045,LI-00127,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,4,69.99,279.96
NB-5046,LI-00128,CB-006,Espresso Roast Whole Bean,Coffee Beans,,3,17.49,52.47
NB-5046,LI-00129,AC-007,Coffee Bean Storage Canister,Accessories,,2,22.99,45.98
NB-5047,LI-00130,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,2,8.99,17.98
NB-5047,LI-00131,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5047,LI-00132,AC-002,Insulated Travel Tumbler (16oz),Accessories,,2,24.99,49.98
NB-5047,LI-00133,EQ-006,AeroPress Original Kit,Brewing Equipment,,2,39.99,79.98
NB-5048,LI-00134,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5048,LI-00135,AC-008,Latte Art Pitcher (12oz),Accessories,,2,16.99,33.98
NB-5048,LI-00136,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5048,LI-00137,AC-008,Latte Art Pitcher (12oz),Accessories,,1,16.99,16.99
NB-5049,LI-00138,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,2,32.99,65.98
NB-5049,LI-00139,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5049,LI-00140,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,1,14.99,14.99
NB-5050,LI-00141,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5051,LI-00142,AC-002,Insulated Travel Tumbler (16oz),Accessories,,1,24.99,24.99
NB-5051,LI-00143,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,1,14.99,14.99
NB-5051,LI-00144,AC-003,Reusable Stainless Steel Filter,Accessories,,2,12.99,25.98
NB-5052,LI-00145,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5052,LI-00146,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5053,LI-00147,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5053,LI-00148,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5053,LI-00149,AC-005,NovaBrew Canvas Tote Bag,Accessories,,1,19.99,19.99
NB-5054,LI-00150,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5055,LI-00151,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,2,14.99,29.98
NB-5055,LI-00152,CB-004,Kenya AA Single Origin,Coffee Beans,,1,19.99,19.99
NB-5055,LI-00153,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,2,16.99,33.98
NB-5055,LI-00154,AC-007,Coffee Bean Storage Canister,Accessories,,1,22.99,22.99
NB-5055,LI-00155,EQ-006,AeroPress Original Kit,Brewing Equipment,,2,39.99,79.98
NB-5056,LI-00156,AC-002,Insulated Travel Tumbler (16oz),Accessories,,1,24.99,24.99
NB-5056,LI-00157,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5056,LI-00158,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5057,LI-00159,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,2,19.99,39.98
NB-5058,LI-00160,AC-005,NovaBrew Canvas Tote Bag,Accessories,,2,19.99,39.98
NB-5059,LI-00161,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,1,17.99,17.99
NB-5059,LI-00162,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5059,LI-00163,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,3,24.99,74.97
NB-5059,LI-00164,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,2,18.99,37.98
NB-5059,LI-00165,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,1,17.99,17.99
NB-5060,LI-00166,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5060,LI-00167,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,4,14.99,59.96
NB-5060,LI-00168,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5061,LI-00169,AC-004,Precision Coffee Scale with Timer,Accessories,,2,29.99,59.98
NB-5061,LI-00170,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,4,54.99,219.96
NB-5061,LI-00171,AC-004,Precision Coffee Scale with Timer,Accessories,,1,29.99,29.99
NB-5061,LI-00172,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5062,LI-00173,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5062,LI-00174,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,4,24.99,99.96
NB-5062,LI-00175,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,1,14.99,14.99
NB-5063,LI-00176,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5063,LI-00177,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5063,LI-00178,AC-007,Coffee Bean Storage Canister,Accessories,,2,22.99,45.98
NB-5063,LI-00179,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,2,8.99,17.98
NB-5063,LI-00180,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5064,LI-00181,CB-004,Kenya AA Single Origin,Coffee Beans,,2,19.99,39.98
NB-5064,LI-00182,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5065,LI-00183,AC-005,NovaBrew Canvas Tote Bag,Accessories,,3,19.99,59.97
NB-5065,LI-00184,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,3,16.99,50.97
NB-5065,LI-00185,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5065,LI-00186,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5066,LI-00187,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,4,14.99,59.96
NB-5066,LI-00188,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,3,24.99,74.97
NB-5066,LI-00189,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5067,LI-00190,CB-003,Sumatra Mandheling Dark Roast,Coffee Beans,,1,17.99,17.99
NB-5068,LI-00191,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5069,LI-00192,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5069,LI-00193,CB-006,Espresso Roast Whole Bean,Coffee Beans,,2,17.49,34.98
NB-5069,LI-00194,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,1,14.99,14.99
NB-5069,LI-00195,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5070,LI-00196,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5070,LI-00197,AC-003,Reusable Stainless Steel Filter,Accessories,,1,12.99,12.99
NB-5070,LI-00198,EQ-006,AeroPress Original Kit,Brewing Equipment,,2,39.99,79.98
NB-5071,LI-00199,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5071,LI-00200,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,1,14.99,14.99
NB-5071,LI-00201,CB-004,Kenya AA Single Origin,Coffee Beans,,1,19.99,19.99
NB-5071,LI-00202,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,4,29.99,119.96
NB-5072,LI-00203,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,4,8.99,35.96
NB-5072,LI-00204,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,2,16.99,33.98
NB-5072,LI-00205,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5072,LI-00206,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,3,16.99,50.97
NB-5072,LI-00207,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5073,LI-00208,SUB-001,Monthly Bean Box (2 bags),Subscriptions,,1,32.99,32.99
NB-5073,LI-00209,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5073,LI-00210,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5073,LI-00211,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5074,LI-00212,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5074,LI-00213,CB-004,Kenya AA Single Origin,Coffee Beans,,2,19.99,39.98
NB-5074,LI-00214,CB-002,Colombian Supremo Blend,Coffee Beans,,2,16.99,33.98
NB-5074,LI-00215,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,2,24.99,49.98
NB-5075,LI-00216,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5075,LI-00217,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5075,LI-00218,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5075,LI-00219,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5075,LI-00220,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5076,LI-00221,CB-006,Espresso Roast Whole Bean,Coffee Beans,,1,17.49,17.49
NB-5076,LI-00222,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,2,14.99,29.98
NB-5076,LI-00223,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5077,LI-00224,EQ-002,Stainless Steel French Press (34oz),Brewing Equipment,,1,34.99,34.99
NB-5077,LI-00225,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,4,14.99,59.96
NB-5077,LI-00226,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5078,LI-00227,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,1,29.99,29.99
NB-5078,LI-00228,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,2,14.99,29.98
NB-5078,LI-00229,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5079,LI-00230,EQ-004,Manual Ceramic Burr Grinder,Brewing Equipment,,2,54.99,109.98
NB-5079,LI-00231,CB-005,NovaBrew House Blend (1lb),Coffee Beans,,1,14.99,14.99
NB-5080,LI-00232,AC-003,Reusable Stainless Steel Filter,Accessories,,1,12.99,12.99
NB-5080,LI-00233,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5080,LI-00234,AC-003,Reusable Stainless Steel Filter,Accessories,,3,12.99,38.97
NB-5080,LI-00235,CB-002,Colombian Supremo Blend,Coffee Beans,,1,16.99,16.99
NB-5080,LI-00236,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5081,LI-00237,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,4,24.99,99.96
NB-5082,LI-00238,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,1,16.99,16.99
NB-5082,LI-00239,EQ-006,AeroPress Original Kit,Brewing Equipment,,1,39.99,39.99
NB-5083,LI-00240,AC-005,NovaBrew Canvas Tote Bag,Accessories,,1,19.99,19.99
NB-5084,LI-00241,AC-004,Precision Coffee Scale with Timer,Accessories,,1,29.99,29.99
NB-5084,LI-00242,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,2,89.99,179.98
NB-5085,LI-00243,EQ-005,Electric Gooseneck Kettle (1.2L),Brewing Equipment,,1,69.99,69.99
NB-5085,LI-00244,CB-004,Kenya AA Single Origin,Coffee Beans,,3,19.99,59.97
NB-5085,LI-00245,CB-008,Limited Edition Guatemala Antigua,Coffee Beans,,1,24.99,24.99
NB-5085,LI-00246,CB-004,Kenya AA Single Origin,Coffee Beans,,1,19.99,19.99
NB-5086,LI-00247,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,1,29.99,29.99
NB-5086,LI-00248,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,3,19.99,59.97
NB-5086,LI-00249,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5086,LI-00250,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,1,24.99,24.99
NB-5087,LI-00251,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5087,LI-00252,SUB-003,Weekly Espresso Club (500g/wk),Subscriptions,,1,19.99,19.99
NB-5087,LI-00253,AC-004,Precision Coffee Scale with Timer,Accessories,,1,29.99,29.99
NB-5087,LI-00254,AC-005,NovaBrew Canvas Tote Bag,Accessories,,2,19.99,39.98
NB-5088,LI-00255,EQ-001,Ceramic Pour-Over Dripper,Brewing Equipment,,2,24.99,49.98
NB-5088,LI-00256,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,2,8.99,17.98
NB-5088,LI-00257,EQ-003,Glass Cold Brew Maker (1.5L),Brewing Equipment,,1,29.99,29.99
NB-5088,LI-00258,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,1,18.99,18.99
NB-5089,LI-00259,CB-001,Ethiopian Yirgacheffe Single Origin,Coffee Beans,,3,18.99,56.97
NB-5089,LI-00260,AC-007,Coffee Bean Storage Canister,Accessories,,2,22.99,45.98
NB-5089,LI-00261,AC-001,NovaBrew Ceramic Mug (12oz),Accessories,,2,14.99,29.98
NB-5090,LI-00262,AC-008,Latte Art Pitcher (12oz),Accessories,,4,16.99,67.96
NB-5090,LI-00263,AC-005,NovaBrew Canvas Tote Bag,Accessories,,3,19.99,59.97
NB-5090,LI-00264,AC-003,Reusable Stainless Steel Filter,Accessories,,1,12.99,12.99
NB-5091,LI-00265,SUB-002,Quarterly Discovery Box (6 bags + surprise),Subscriptions,,1,89.99,89.99
NB-5091,LI-00266,AC-006,Bamboo Stir Stick Set (12pk),Accessories,,2,8.99,17.98
NB-5092,LI-00267,CB-007,Decaf Colombian Swiss Water,Coffee Beans,,2,16.99,33.98
NB-5093,LI-00268,CB-002,Colombian Supremo Blend,Coffee Beans,,2,16.99,33.98
NB-5093,LI-00269,AC-003,Reusable Stainless Steel Filter,Accessories,,1,12.99,12.99
