customer_id,customer_archetype,acquisition_channel,join_date,first_order_value,first_order_discount_pct,first_order_category,total_orders,lifetime_revenue,avg_order_value,days_to_second_order,pages_viewed_first_30d,sessions_first_30d,email_opens_first_30d,items_browsed_first_30d,returns_count,support_tickets,days_since_last_order,churned,predicted_3yr_clv
31433,One-and-Done,paid_ads,2024-12-01,25.96,22.0,Beauty,1,25.96,25.96,0,11,3,1,4,1,0,358,1,0.4
36427,One-and-Done,organic,2024-03-29,35.2,23.0,Beauty,2,69.39,34.7,999,3,3,0,5,0,0,130,1,1.57
30312,One-and-Done,social_media,2024-02-10,39.86,10.0,Electronics,2,60.29,30.14,999,3,1,2,4,0,0,183,1,0.7
37458,Loyal Regular,organic,2024-06-15,35.19,8.0,Electronics,19,2078.81,109.41,11,82,27,7,57,0,1,14,0,5134.76
32616,Promising New,social_media,2024-10-15,22.73,11.0,Electronics,6,706.34,117.72,33,48,9,7,22,0,0,18,0,797.37
37691,Discount Addict,social_media,2024-03-31,14.82,38.0,Health,5,781.94,156.39,43,74,6,9,25,1,0,76,0,503.32
37360,One-and-Done,paid_ads,2024-11-18,35.17,7.0,Beauty,2,63.26,31.63,999,5,3,0,7,0,0,286,1,5.05
32229,Promising New,paid_ads,2024-06-24,25.75,11.0,Health,8,779.97,97.5,18,38,13,5,20,0,0,67,0,702.19
33765,One-and-Done,paid_ads,2024-10-20,23.59,24.0,Electronics,2,41.24,20.62,999,7,1,1,4,0,0,253,1,1.14
34712,Fading Away,organic,2024-03-27,38.1,4.0,Fashion,8,327.14,40.89,36,11,4,4,14,1,0,194,1,18.23
33650,Future VIP,paid_ads,2024-12-04,37.05,5.0,Home,38,3333.0,87.71,8,148,27,5,32,2,0,8,0,12134.69
31804,Discount Addict,organic,2024-01-16,31.23,32.0,Beauty,14,615.88,43.99,20,86,7,9,32,0,1,41,0,321.73
36462,One-and-Done,paid_ads,2024-02-10,21.08,14.0,Health,2,78.99,39.49,999,20,2,1,2,0,0,306,1,7.55
33365,One-and-Done,paid_ads,2024-07-20,31.98,4.0,Electronics,1,31.98,31.98,0,9,4,1,10,0,0,371,1,0.17
34620,One-and-Done,organic,2024-12-15,16.6,21.0,Health,2,75.36,37.68,999,9,2,0,4,0,0,405,1,4.28
36745,One-and-Done,social_media,2024-01-07,11.83,24.0,Electronics,1,11.83,11.83,0,10,2,0,2,0,0,314,1,0.71
36660,Loyal Regular,organic,2024-07-03,34.81,1.0,Health,15,1640.23,109.35,21,89,16,15,28,3,0,25,0,3749.68
35000,One-and-Done,social_media,2024-11-04,22.1,2.0,Health,2,13.5,6.75,999,5,3,1,10,1,0,391,1,0.93
36388,Promising New,paid_ads,2024-10-21,24.1,2.0,Electronics,8,212.47,26.56,41,50,11,2,27,0,1,67,0,213.39
33324,Future VIP,referral,2024-05-27,66.38,5.0,Beauty,33,3750.63,113.66,17,61,17,7,52,2,1,19,0,16645.93
35995,Loyal Regular,organic,2024-06-04,40.67,1.0,Electronics,16,2331.26,145.7,10,59,22,13,29,2,2,5,0,5253.74
34480,Discount Addict,paid_ads,2024-12-30,28.15,44.0,Electronics,10,975.03,97.5,30,41,17,9,34,2,0,30,0,410.37
36298,Loyal Regular,social_media,2024-11-26,30.12,8.0,Fashion,10,1165.07,116.51,12,144,19,11,46,2,0,24,0,2838.8
34279,Loyal Regular,referral,2024-10-26,23.94,6.0,Health,18,1223.5,67.97,28,113,20,7,18,1,1,4,1,59.99
30993,One-and-Done,paid_ads,2024-04-05,20.91,18.0,Fashion,1,20.91,20.91,0,4,3,0,9,0,0,165,1,1.08
34958,Loyal Regular,email,2024-05-12,43.56,2.0,Beauty,11,1694.13,154.01,32,117,12,8,50,3,2,24,1,37.9
35111,One-and-Done,paid_ads,2024-03-08,11.26,6.0,Home,1,11.26,11.26,0,6,3,0,4,0,0,492,1,0.19
34677,Future VIP,organic,2024-01-20,15.24,7.0,Health,45,7845.65,174.35,8,112,18,10,43,0,0,11,0,23948.32
34512,One-and-Done,paid_ads,2024-03-19,22.74,23.0,Electronics,1,22.74,22.74,0,16,2,2,7,1,0,316,0,0.0
30216,Discount Addict,referral,2024-10-15,10.25,37.0,Fashion,6,626.59,104.43,51,62,19,9,32,0,1,69,0,449.61
34640,Discount Addict,paid_ads,2024-12-16,22.69,9.0,Health,5,784.7,156.94,45,67,6,9,20,0,0,65,0,265.06
36000,One-and-Done,social_media,2024-04-08,33.11,8.0,Fashion,1,33.11,33.11,0,10,3,0,10,1,0,117,1,1.02
36709,Loyal Regular,organic,2024-03-30,50.68,7.0,Electronics,14,2411.06,172.22,30,45,10,7,55,1,1,1,0,5049.23
31937,Discount Addict,organic,2024-08-01,36.85,21.0,Health,15,331.51,22.1,24,54,12,12,50,6,1,10,1,29.58
37484,Fading Away,paid_ads,2024-02-04,38.57,2.0,Health,8,600.41,75.05,68,25,6,1,22,3,0,56,0,82.7
37827,Loyal Regular,email,2024-12-31,47.59,6.0,Beauty,18,2302.25,127.9,11,122,24,13,24,2,2,9,0,5578.11
30436,Discount Addict,referral,2024-06-27,11.97,28.0,Electronics,8,739.01,92.38,45,35,19,7,27,4,1,48,1,30.03
35656,One-and-Done,paid_ads,2024-07-01,35.64,16.0,Electronics,1,35.64,35.64,0,6,2,2,6,0,0,319,1,0.59
32638,Discount Addict,organic,2024-11-19,29.58,15.0,Fashion,13,971.2,74.71,46,84,14,12,32,1,1,61,0,734.78
36722,Discount Addict,social_media,2024-05-05,29.44,10.0,Electronics,8,830.77,103.85,58,59,19,10,47,3,1,64,0,628.66
31038,One-and-Done,paid_ads,2024-11-27,44.19,12.0,Fashion,1,44.19,44.19,0,7,3,1,6,0,0,329,1,2.21
32686,Future VIP,email,2024-03-19,79.28,6.0,Electronics,23,5204.49,226.28,5,110,12,10,32,1,1,7,0,15757.22
30235,Discount Addict,organic,2024-09-09,26.55,31.0,Home,9,845.27,93.92,49,40,16,10,45,1,1,31,0,436.14
32688,One-and-Done,organic,2024-02-17,39.97,26.0,Health,1,39.97,39.97,0,4,1,1,7,0,0,189,1,2.25
34381,Loyal Regular,email,2024-08-11,22.15,11.0,Beauty,15,1360.09,90.67,33,71,21,5,58,0,2,3,0,2307.15
34330,Future VIP,email,2024-07-05,52.42,4.0,Electronics,16,5009.46,313.09,9,69,21,14,40,0,1,15,0,21421.31
31509,One-and-Done,social_media,2024-07-30,41.5,21.0,Electronics,1,41.5,41.5,0,15,1,0,3,0,0,240,1,2.22
30263,Discount Addict,paid_ads,2024-02-02,26.35,25.0,Fashion,13,662.23,50.94,20,88,6,9,44,3,1,69,0,480.0
33041,Loyal Regular,email,2024-07-20,34.83,3.0,Home,9,1247.4,138.6,16,106,18,14,19,2,0,7,1,106.29
33867,One-and-Done,paid_ads,2024-08-17,43.36,24.0,Health,1,43.36,43.36,0,9,2,2,10,0,0,200,1,2.44
32095,Promising New,organic,2024-03-09,19.65,11.0,Electronics,8,586.74,73.34,17,75,13,2,13,0,1,31,0,672.76
34749,Loyal Regular,referral,2024-04-23,55.34,1.0,Electronics,17,1781.58,104.8,20,149,12,5,29,1,4,4,0,3369.18
35492,Loyal Regular,organic,2024-07-25,53.36,4.0,Home,13,1061.25,81.63,14,97,25,13,36,1,0,24,0,1360.52
33668,Loyal Regular,social_media,2024-06-07,48.32,6.0,Health,11,1037.02,94.27,35,144,19,11,20,0,0,4,0,1618.16
37126,One-and-Done,social_media,2024-09-27,14.46,3.0,Electronics,2,27.87,13.94,999,15,3,2,4,1,0,358,1,2.3
32417,Fading Away,referral,2024-10-11,44.59,13.0,Fashion,4,559.74,139.94,48,20,5,4,10,0,2,111,1,53.06
37884,Discount Addict,social_media,2024-09-06,16.27,34.0,Home,12,769.02,64.08,30,29,11,9,35,2,1,59,1,56.64
35271,One-and-Done,social_media,2024-09-22,13.47,24.0,Home,1,13.47,13.47,0,7,1,0,7,0,0,357,1,0.05
33752,Discount Addict,organic,2024-07-25,19.58,8.0,Electronics,14,335.13,23.94,53,48,6,12,37,1,1,77,1,10.55
32692,Future VIP,referral,2024-12-11,26.44,4.0,Health,45,3304.27,73.43,20,149,8,13,29,0,2,14,0,7785.39
31310,Fading Away,organic,2024-04-26,39.77,2.0,Fashion,7,637.51,91.07,59,18,11,2,6,0,0,162,0,182.83
37309,Fading Away,email,2024-03-08,50.43,16.0,Home,10,572.85,57.29,25,45,6,4,9,1,3,49,0,66.77
31051,Promising New,email,2024-11-12,45.27,7.0,Fashion,5,553.43,110.69,39,34,11,3,32,0,0,41,0,573.51
35433,Fading Away,social_media,2024-01-29,30.9,13.0,Electronics,5,331.42,66.28,31,14,7,2,16,1,0,92,0,108.41
34647,Fading Away,referral,2024-09-16,36.76,14.0,Health,8,389.27,48.66,28,43,10,2,20,1,0,166,0,100.14
35546,Loyal Regular,referral,2024-10-31,46.53,4.0,Electronics,20,1905.26,95.26,32,99,26,12,34,2,1,9,0,2626.61
34774,Discount Addict,paid_ads,2024-12-12,30.26,21.0,Electronics,5,1174.8,234.96,55,48,20,11,46,2,1,9,0,667.93
32391,Promising New,social_media,2024-02-23,23.74,3.0,Health,7,329.43,47.06,33,52,10,6,28,1,0,13,0,504.91
32613,Loyal Regular,organic,2024-10-10,54.12,4.0,Health,15,2073.09,138.21,34,88,12,6,42,2,1,11,0,5161.47
31752,Discount Addict,paid_ads,2024-12-18,15.49,40.0,Electronics,12,393.68,32.81,47,70,10,6,29,3,2,39,0,147.57
35857,Discount Addict,paid_ads,2024-11-01,29.25,26.0,Beauty,9,420.94,46.77,35,78,10,12,23,2,1,63,0,252.63
31297,Loyal Regular,organic,2024-03-23,54.42,8.0,Electronics,11,2121.24,192.84,35,118,24,8,36,1,0,21,0,4663.58
32597,Discount Addict,paid_ads,2024-10-10,19.18,5.0,Fashion,10,1088.34,108.83,42,54,12,9,26,0,2,64,0,584.83
34132,Fading Away,organic,2024-08-20,52.44,9.0,Electronics,8,641.53,80.19,41,50,4,5,22,0,0,61,1,58.28
36154,Fading Away,organic,2024-06-10,37.68,9.0,Home,6,628.95,104.83,31,14,10,4,18,0,0,174,1,34.07
33556,Discount Addict,organic,2024-12-12,23.21,33.0,Electronics,6,605.49,100.92,23,65,20,6,37,2,0,15,1,12.84
31198,Fading Away,social_media,2024-12-09,33.42,8.0,Fashion,9,452.24,50.25,33,41,9,4,19,1,1,131,0,107.11
32598,Future VIP,referral,2024-11-22,39.5,3.0,Electronics,28,4283.73,152.99,13,150,21,8,46,1,1,5,0,10252.24
34113,Loyal Regular,social_media,2024-01-23,35.25,8.0,Electronics,17,1194.08,70.24,33,71,10,7,58,1,0,6,0,2150.83
36058,One-and-Done,paid_ads,2024-10-13,20.11,0.0,Electronics,2,60.77,30.39,999,12,4,2,10,1,0,198,1,5.71
32153,Loyal Regular,social_media,2024-03-08,40.56,3.0,Fashion,19,1398.92,73.63,16,74,21,7,44,0,2,11,1,102.22
30555,Discount Addict,social_media,2024-05-07,15.75,26.0,Electronics,13,337.57,25.97,57,49,20,10,44,1,1,45,0,245.04
33132,Loyal Regular,email,2024-09-29,50.68,10.0,Beauty,19,1531.86,80.62,20,46,9,6,56,2,1,24,0,3250.25
34732,Future VIP,email,2024-03-04,29.57,7.0,Home,38,4150.98,109.24,15,135,23,13,35,3,0,25,0,19526.08
35160,Future VIP,referral,2024-03-31,75.08,1.0,Fashion,18,7986.54,443.7,19,129,17,14,44,1,0,14,0,23527.33
33569,Future VIP,email,2024-06-22,75.63,3.0,Fashion,27,7558.56,279.95,13,46,14,9,55,0,2,16,0,18627.46
30234,Loyal Regular,email,2024-12-09,53.17,4.0,Health,15,1083.94,72.26,35,147,16,12,54,1,1,23,0,1686.65
36833,Discount Addict,social_media,2024-03-17,37.82,33.0,Electronics,5,1142.92,228.58,49,34,18,12,28,1,0,6,0,353.51
32237,Promising New,paid_ads,2024-07-16,37.08,2.0,Beauty,4,636.88,159.22,40,33,14,6,30,1,0,45,1,34.38
30438,One-and-Done,paid_ads,2024-11-21,20.74,26.0,Fashion,1,20.74,20.74,0,18,4,1,7,0,0,473,0,0.0
34743,Discount Addict,organic,2024-02-15,26.98,7.0,Home,9,624.9,69.43,60,84,12,6,33,0,1,35,0,335.57
36102,Promising New,paid_ads,2024-05-02,19.04,10.0,Beauty,6,660.41,110.07,17,51,11,7,22,0,0,28,1,14.52
31912,Loyal Regular,referral,2024-03-10,57.89,7.0,Beauty,13,1710.53,131.58,31,83,19,15,49,0,1,17,0,3663.34
34999,Promising New,referral,2024-09-04,31.18,3.0,Health,5,274.31,54.86,27,20,14,7,16,0,0,77,0,249.13
34665,Loyal Regular,social_media,2024-03-04,56.39,10.0,Health,19,1563.03,82.26,21,140,11,13,55,1,2,19,0,2777.0
33585,Promising New,organic,2024-12-31,41.62,2.0,Home,6,686.6,114.43,28,70,12,4,17,1,0,39,0,643.83
37196,Discount Addict,organic,2024-01-18,30.62,26.0,Fashion,14,1068.29,76.31,51,22,14,8,42,4,1,46,0,406.27
35784,Discount Addict,social_media,2024-07-10,36.03,0.0,Fashion,14,395.05,28.22,47,26,8,8,39,2,1,74,1,37.45
37649,Discount Addict,referral,2024-03-24,20.11,43.0,Beauty,5,658.4,131.68,47,58,9,7,34,1,0,21,0,475.21
34649,Discount Addict,social_media,2024-07-01,36.14,1.0,Home,13,957.18,73.63,51,52,11,12,48,3,2,18,0,419.34
35609,One-and-Done,paid_ads,2024-08-17,22.45,15.0,Electronics,2,78.23,39.12,999,16,3,1,9,0,0,348,1,0.53
31264,One-and-Done,paid_ads,2024-06-19,22.51,22.0,Electronics,2,66.72,33.36,999,4,4,1,8,0,0,186,1,4.46
32486,Promising New,paid_ads,2024-12-14,25.23,9.0,Fashion,5,218.53,43.71,18,32,11,6,12,1,0,41,0,333.03
36484,Fading Away,referral,2024-09-01,53.75,9.0,Fashion,5,257.78,51.56,55,11,9,1,14,0,1,167,1,24.14
35954,Fading Away,paid_ads,2024-08-07,35.59,6.0,Fashion,4,543.73,135.93,47,16,6,4,17,0,0,187,1,18.8
34857,One-and-Done,referral,2024-09-25,27.1,4.0,Electronics,2,78.02,39.01,999,6,1,1,2,0,0,455,1,5.67
30242,Loyal Regular,organic,2024-12-30,57.69,7.0,Electronics,17,821.33,48.31,29,79,23,15,16,0,2,3,0,1824.01
35908,Promising New,social_media,2024-04-21,49.54,7.0,Electronics,6,500.88,83.48,39,77,8,4,31,0,0,30,0,790.64
37706,One-and-Done,social_media,2024-12-11,16.87,2.0,Home,2,87.01,43.51,999,17,2,1,7,0,0,467,1,8.5
35195,One-and-Done,organic,2024-03-21,12.79,4.0,Electronics,1,12.79,12.79,0,14,2,2,8,0,0,203,1,0.67
36203,Future VIP,referral,2024-07-31,78.11,6.0,Home,25,7257.15,290.29,11,54,12,12,49,1,3,5,0,23959.49
31246,Loyal Regular,email,2024-06-01,35.44,2.0,Beauty,11,1234.66,112.24,14,82,27,11,34,0,0,12,0,1738.58
35726,Discount Addict,referral,2024-07-31,27.25,8.0,Fashion,8,390.87,48.86,36,52,19,9,25,0,0,71,1,14.28
30809,Loyal Regular,organic,2024-11-23,57.29,1.0,Beauty,16,1391.67,86.98,30,137,12,5,30,1,1,8,0,2357.86
34569,Promising New,paid_ads,2024-10-12,32.95,6.0,Beauty,5,309.12,61.82,31,56,10,2,11,0,0,25,0,490.4
36888,One-and-Done,paid_ads,2024-01-28,10.93,12.0,Beauty,1,10.93,10.93,0,9,1,2,3,0,0,449,1,0.1
32934,Fading Away,email,2024-04-03,32.02,14.0,Beauty,5,310.02,62.0,32,23,9,5,12,0,0,177,1,7.09
30464,Loyal Regular,referral,2024-09-09,51.74,9.0,Electronics,11,1434.41,130.4,31,127,19,15,49,1,0,5,0,3297.88
33107,Loyal Regular,email,2024-01-01,54.93,9.0,Fashion,19,1020.19,53.69,34,136,30,6,59,2,1,20,0,2331.88
33011,Discount Addict,organic,2024-05-17,25.49,39.0,Health,9,676.91,75.21,57,21,11,11,29,0,1,56,0,521.55
34546,Fading Away,organic,2024-09-06,39.2,13.0,Health,6,542.28,90.38,32,25,5,1,18,0,1,116,1,46.51
37828,Loyal Regular,email,2024-06-17,32.52,10.0,Home,15,2157.41,143.83,14,41,25,8,48,0,0,12,0,5127.43
33518,One-and-Done,email,2024-03-22,34.56,21.0,Electronics,2,39.49,19.75,999,18,2,2,4,0,0,291,1,3.5
37717,Fading Away,paid_ads,2024-06-27,46.02,18.0,Electronics,10,569.6,56.96,44,43,12,4,22,1,0,168,1,13.69
33110,Future VIP,referral,2024-03-03,19.5,0.0,Fashion,23,2353.72,102.34,18,51,22,5,19,1,1,20,0,5719.74
31157,Discount Addict,social_media,2024-01-21,31.68,12.0,Health,15,1149.78,76.65,51,31,5,10,21,1,2,18,0,595.62
37783,Fading Away,organic,2024-12-05,44.62,14.0,Electronics,6,524.62,87.44,61,16,10,2,13,1,1,140,1,49.41
31527,Loyal Regular,organic,2024-06-30,21.04,7.0,Electronics,14,1337.61,95.54,21,53,11,6,49,0,1,15,0,3179.24
33296,Discount Addict,paid_ads,2024-12-15,32.29,1.0,Electronics,6,1149.83,191.64,35,50,15,6,28,2,0,43,0,483.04
35060,One-and-Done,organic,2024-12-16,40.83,1.0,Fashion,1,40.83,40.83,0,15,1,1,4,0,0,149,1,0.9
33927,Loyal Regular,email,2024-10-03,30.73,12.0,Fashion,17,1802.34,106.02,16,49,8,11,54,1,0,7,0,3165.56
31579,Loyal Regular,email,2024-07-11,57.77,9.0,Health,11,1434.3,130.39,19,136,9,5,42,0,0,12,0,2063.61
31023,Discount Addict,social_media,2024-02-04,13.04,2.0,Electronics,8,1104.06,138.01,21,75,7,6,36,0,0,73,0,731.92
32448,Discount Addict,email,2024-11-19,34.7,4.0,Electronics,15,445.43,29.7,52,31,16,9,21,3,2,36,1,19.89
34138,Loyal Regular,organic,2024-07-29,38.15,10.0,Electronics,12,2253.31,187.78,22,80,21,11,40,0,0,9,0,4780.68
33086,Fading Away,organic,2024-10-14,47.56,9.0,Electronics,6,600.29,100.05,41,32,3,2,19,0,0,53,0,89.21
30881,Discount Addict,paid_ads,2024-03-17,30.4,30.0,Fashion,12,606.25,50.52,24,73,16,8,24,0,1,47,1,13.64
30949,Future VIP,referral,2024-12-09,61.07,4.0,Beauty,27,7555.43,279.83,6,94,14,5,60,1,2,3,0,26840.62
33785,One-and-Done,organic,2024-04-05,30.35,21.0,Home,2,9.84,4.92,999,12,2,1,6,0,1,157,1,0.08
35653,Future VIP,organic,2024-12-30,33.02,3.0,Beauty,22,7100.28,322.74,9,37,23,13,57,0,0,23,0,18632.75
31997,Fading Away,social_media,2024-07-18,37.72,7.0,Electronics,6,491.35,81.89,26,39,7,1,23,0,0,137,0,168.46
31139,Future VIP,referral,2024-11-12,39.26,2.0,Electronics,15,6852.7,456.85,17,105,10,11,57,0,1,25,0,17275.19
37412,Loyal Regular,referral,2024-07-16,21.63,10.0,Health,17,1015.76,59.75,17,68,23,8,43,1,0,20,0,2314.12
36211,Loyal Regular,organic,2024-05-13,55.24,11.0,Home,10,1884.36,188.44,20,110,29,10,45,0,0,17,0,3187.7
31404,Fading Away,email,2024-11-01,42.14,11.0,Health,8,605.13,75.64,48,21,9,2,11,0,1,76,1,35.43
34136,Promising New,organic,2024-11-21,15.24,11.0,Fashion,8,603.3,75.41,17,68,7,5,10,1,0,38,0,726.88
35952,Promising New,referral,2024-07-05,32.14,13.0,Electronics,3,310.54,103.51,25,54,15,2,31,0,1,21,0,297.61
30397,One-and-Done,social_media,2024-02-18,23.19,9.0,Beauty,1,23.19,23.19,0,5,4,0,2,0,0,440,1,1.15
30536,Fading Away,organic,2024-10-15,28.17,6.0,Home,10,397.94,39.79,51,46,7,1,17,1,1,88,1,34.11
34239,Fading Away,paid_ads,2024-11-21,24.41,6.0,Health,6,562.12,93.69,26,14,4,5,23,0,0,79,0,113.32
32015,Future VIP,social_media,2024-03-21,50.85,2.0,Fashion,25,6330.62,253.22,16,76,21,11,54,1,2,16,0,22865.24
34952,Discount Addict,paid_ads,2024-05-06,25.18,32.0,Home,11,1049.77,95.43,45,69,9,8,43,5,1,63,0,368.11
33852,Discount Addict,social_media,2024-11-06,32.06,38.0,Health,7,1005.12,143.59,31,56,18,11,37,2,1,14,0,692.67
36967,One-and-Done,paid_ads,2024-10-08,20.11,2.0,Home,1,20.11,20.11,0,8,3,0,2,0,0,298,1,1.23
34218,Promising New,paid_ads,2024-04-01,27.15,5.0,Home,7,385.47,55.07,35,78,10,6,22,1,2,66,0,496.1
34509,One-and-Done,social_media,2024-01-03,42.67,4.0,Electronics,2,27.18,13.59,999,6,4,2,9,0,0,332,1,1.92
35761,One-and-Done,paid_ads,2024-01-02,23.98,20.0,Fashion,1,23.98,23.98,0,14,1,2,8,0,0,423,1,1.75
33428,Fading Away,paid_ads,2024-01-08,54.97,10.0,Fashion,7,409.81,58.54,26,19,9,4,19,0,0,56,1,38.29
34028,Discount Addict,organic,2024-03-10,29.27,23.0,Beauty,13,394.97,30.38,27,69,15,6,42,5,2,36,1,21.31
31948,Fading Away,referral,2024-12-08,31.25,12.0,Health,10,369.48,36.95,31,35,9,5,14,0,1,155,1,11.51
30811,One-and-Done,referral,2024-04-25,36.71,5.0,Beauty,1,36.71,36.71,0,9,1,0,3,0,0,379,1,2.22
32539,One-and-Done,paid_ads,2024-07-03,18.99,9.0,Fashion,2,86.82,43.41,999,14,4,1,5,0,0,180,1,3.62
36188,Discount Addict,paid_ads,2024-07-28,34.54,15.0,Beauty,9,728.32,80.92,44,36,10,11,36,2,1,66,1,65.4
31860,Future VIP,email,2024-03-03,25.63,5.0,Electronics,36,7982.22,221.73,13,50,15,12,44,1,1,17,0,17835.48
30658,Discount Addict,email,2024-08-07,32.35,21.0,Beauty,11,835.9,75.99,26,21,13,11,39,3,1,32,0,329.01
35646,Fading Away,social_media,2024-07-14,36.38,7.0,Health,9,514.21,57.13,42,16,3,4,8,0,1,167,0,116.22
36251,Discount Addict,social_media,2024-06-29,11.84,7.0,Electronics,11,408.28,37.12,37,36,20,8,34,0,2,25,0,139.41
32270,Fading Away,paid_ads,2024-02-02,22.42,13.0,Fashion,7,473.35,67.62,52,37,7,4,19,1,0,99,1,29.7
31560,Loyal Regular,organic,2024-05-19,44.64,7.0,Health,18,1202.15,66.79,25,57,30,6,25,0,0,16,0,1642.4
36804,One-and-Done,organic,2024-05-24,18.61,3.0,Beauty,1,18.61,18.61,0,5,2,2,7,0,0,477,1,1.07
34840,One-and-Done,organic,2024-05-01,31.34,5.0,Home,2,39.99,20.0,999,3,2,1,4,1,0,448,1,2.23
37387,Fading Away,email,2024-07-26,38.68,11.0,Home,7,262.59,37.51,67,47,12,4,6,2,0,61,1,15.49
33532,Fading Away,email,2024-10-27,34.27,10.0,Home,7,227.32,32.47,61,17,4,1,17,0,0,167,0,57.39
36828,Loyal Regular,referral,2024-01-25,52.75,3.0,Electronics,8,1258.61,157.33,32,82,14,10,37,0,0,12,0,2200.94
35241,Discount Addict,email,2024-08-15,29.63,41.0,Fashion,5,920.37,184.07,34,61,7,8,33,0,0,21,1,91.59
31589,One-and-Done,social_media,2024-11-24,27.45,23.0,Home,1,27.45,27.45,0,19,2,1,5,1,0,195,1,2.16
32372,One-and-Done,social_media,2024-11-15,21.6,1.0,Beauty,1,21.6,21.6,0,19,1,2,2,0,0,163,1,0.55
33981,One-and-Done,social_media,2024-05-21,25.1,20.0,Electronics,1,25.1,25.1,0,17,3,2,9,0,0,385,1,2.2
32279,Promising New,paid_ads,2024-01-23,48.17,7.0,Electronics,5,385.96,77.19,30,15,6,5,12,0,1,62,1,9.41
34805,Future VIP,organic,2024-10-17,33.21,4.0,Fashion,20,2662.63,133.13,19,104,21,10,21,1,0,14,1,147.27
36728,Future VIP,referral,2024-06-28,73.17,6.0,Beauty,15,3865.17,257.68,15,68,10,8,42,0,1,12,0,13192.5
31737,Promising New,paid_ads,2024-01-10,25.72,1.0,Health,8,739.99,92.5,35,22,7,2,34,0,0,23,0,594.72
31693,Loyal Regular,referral,2024-08-23,49.93,0.0,Home,20,1742.4,87.12,22,115,29,10,15,0,1,15,0,2831.44
