listing_id,neighborhood,property_type,sqft,bedrooms,bathrooms,floor,year_built,condition,has_parking,has_gym,has_pool,has_doorman,metro_distance_miles,school_rating,crime_index,restaurants_nearby,park_access_score,noise_level,listing_price,price_per_sqft,estimated_fair_value,price_gap_percent,days_on_market,sold,predicted_1yr_appreciation
104424,University Quarter,Condo,1672,2,2,8,1966,Good,1,1,0,0,0.57,8,25,65,6,60,652000,389.95,670000,-2.7,23,1,8.0
100771,Harbor View,Apartment,634,1,2,7,2020,Average,1,1,0,1,1.08,6,28,50,7,40,309000,487.38,285000,8.4,96,1,9.8
105474,North Valley,Condo,1015,1,1,1,2002,Renovated,0,0,1,0,3.74,7,15,12,7,12,259000,255.17,257000,0.8,24,0,2.2
100667,Riverside Park,Studio,494,0,1,24,2013,Good,1,1,1,0,0.93,8,18,35,9,25,194000,392.71,196000,-1.0,44,1,7.3
108343,University Quarter,Condo,990,2,1,7,2007,Needs Work,0,0,0,0,0.33,8,25,65,6,60,277000,279.8,260000,6.5,39,1,8.7
106859,Midtown East,Condo,948,1,2,6,2015,Needs Work,1,1,0,1,0.63,7,30,60,5,55,319000,336.5,331000,-3.6,15,1,5.8
100682,Suburban Green,Studio,600,0,1,15,1965,Renovated,1,1,0,0,3.18,9,10,20,8,18,168000,280.0,157000,7.0,15,1,6.7
104738,University Quarter,Condo,847,3,1,12,2002,Renovated,0,0,0,0,1.07,8,25,65,6,60,336000,396.69,341000,-1.5,10,1,7.8
110107,University Quarter,Apartment,1084,3,1,25,2004,Average,1,1,0,1,0.7,8,25,65,6,60,378000,348.71,385000,-1.8,24,1,6.0
109802,Midtown East,Condo,1070,2,1,2,2015,New,1,0,1,0,0.54,7,30,60,5,55,664000,620.56,621000,6.9,24,1,9.3
106821,Harbor View,Apartment,1020,3,2,15,2019,Good,1,1,0,0,1.03,6,28,50,7,40,573000,561.76,534000,7.3,11,0,13.1
104270,Old Town,Townhouse,2062,4,2,2,1980,Average,1,1,0,1,1.23,5,55,70,2,65,614000,297.77,669000,-8.2,1,1,1.0
102604,Old Town,Condo,1195,3,2,19,1978,Renovated,1,0,0,0,1.53,5,55,70,2,65,436000,364.85,462000,-5.6,18,1,0.1
103788,Old Town,Penthouse,1554,3,3,38,2020,Renovated,0,0,0,1,1.41,5,55,70,2,65,1278000,822.39,1302000,-1.8,5,1,-3.6
102067,North Valley,Condo,1613,2,2,14,2005,Needs Work,1,1,0,0,4.15,7,15,12,7,12,279000,172.97,292000,-4.5,27,0,4.6
100833,Tech District,Apartment,1198,2,2,25,1986,Good,0,0,1,0,0.13,7,20,55,4,50,845000,705.34,757000,11.6,83,1,15.4
107384,University Quarter,Condo,853,2,2,8,2000,Needs Work,0,0,0,0,0.95,8,25,65,6,60,240000,281.36,215000,11.6,65,0,7.4
106748,Harbor View,Studio,558,0,1,25,2021,Needs Work,0,0,0,0,1.47,6,28,50,7,40,150000,268.82,147000,2.0,35,0,12.4
108537,Industrial Edge,Apartment,1367,2,2,12,1995,Good,0,0,0,0,2.92,4,62,15,1,72,222000,162.4,225000,-1.3,10,0,2.6
109227,Riverside Park,Townhouse,2148,2,2,3,1985,New,1,0,0,0,0.64,8,18,35,9,25,1371000,638.27,1381000,-0.7,27,1,11.5
110156,North Valley,Penthouse,2561,2,2,34,2009,New,0,0,1,0,4.26,7,15,12,7,12,1653000,645.45,1709000,-3.3,24,1,2.9
109169,Westside Heights,Studio,596,0,1,7,1970,Good,1,0,1,1,0.1,9,12,40,8,35,268000,449.66,287000,-6.6,24,1,13.7
107176,Tech District,Apartment,678,3,2,20,1988,Good,0,1,0,0,0.1,7,20,55,4,50,440000,648.97,403000,9.2,48,1,12.5
106294,Downtown Core,Penthouse,1810,2,2,37,1999,Needs Work,0,1,0,0,0.1,6,45,85,3,78,1869000,1032.6,1701000,9.9,40,1,5.8
106723,Riverside Park,Apartment,784,2,2,1,1997,Renovated,1,0,0,0,1.14,8,18,35,9,25,316000,403.06,349000,-9.5,4,1,9.3
102487,Tech District,Townhouse,1684,2,3,1,2004,Average,1,1,0,0,0.48,7,20,55,4,50,928000,551.07,974000,-4.7,40,0,16.4
100907,Industrial Edge,Apartment,1229,3,1,2,2021,Renovated,1,1,0,1,2.24,4,62,15,1,72,246000,200.16,247000,-0.4,45,0,3.9
102119,Industrial Edge,Townhouse,1524,3,2,2,2016,Average,0,0,0,0,2.42,4,62,15,1,72,243000,159.45,269000,-9.7,2,1,5.0
107000,Old Town,Apartment,1042,1,2,21,2003,Good,1,0,0,0,1.52,5,55,70,2,65,335000,321.5,323000,3.7,42,1,-2.7
104299,North Valley,Apartment,644,1,2,9,2003,Needs Work,1,0,0,0,4.02,7,15,12,7,12,89000,138.2,95000,-6.3,17,0,3.3
100588,University Quarter,Apartment,841,1,2,10,2021,Renovated,1,1,0,0,0.38,8,25,65,6,60,324000,385.26,332000,-2.4,19,1,4.2
109087,Lakefront,Studio,557,0,1,15,2020,Renovated,1,1,0,0,1.13,9,8,25,10,15,313000,561.94,301000,4.0,29,1,9.5
100757,University Quarter,Penthouse,2200,3,3,24,2010,Renovated,0,1,0,1,0.34,8,25,65,6,60,2322000,1055.45,2099000,10.6,73,1,8.3
106681,North Valley,Condo,1690,2,2,17,1981,Good,0,0,0,0,3.96,7,15,12,7,12,412000,243.79,414000,-0.5,20,1,4.6
111808,Downtown Core,Apartment,1108,1,1,12,1996,Needs Work,0,1,0,1,0.14,6,45,85,3,78,378000,341.16,415000,-8.9,13,1,6.7
100703,Riverside Park,Studio,478,0,1,23,2015,Renovated,1,1,0,1,1.16,8,18,35,9,25,218000,456.07,200000,9.0,45,1,13.0
105887,Downtown Core,Penthouse,2809,2,4,27,2021,Average,1,1,0,0,0.51,6,45,85,3,78,3482000,1239.59,3160000,10.2,87,0,4.9
107740,Harbor View,Studio,359,0,1,22,2005,New,0,0,0,0,1.04,6,28,50,7,40,155000,431.75,164000,-5.5,34,0,11.3
106847,Midtown East,Condo,1376,3,1,6,2009,Good,1,0,0,0,0.46,7,30,60,5,55,589000,428.05,653000,-9.8,27,1,8.8
105407,Downtown Core,Apartment,670,2,2,10,1966,Good,1,0,0,0,0.1,6,45,85,3,78,315000,470.15,347000,-9.2,1,1,7.6
107329,Lakefront,Townhouse,1703,3,2,2,2004,Renovated,0,0,0,0,1.04,9,8,25,10,15,1404000,824.43,1299000,8.1,79,1,8.2
108046,Downtown Core,Apartment,1188,3,2,16,2019,New,0,0,1,1,0.3,6,45,85,3,78,756000,636.36,796000,-5.0,11,1,2.3
111154,Downtown Core,Apartment,1268,2,1,4,1974,Good,1,1,0,0,0.1,6,45,85,3,78,592000,466.88,646000,-8.4,6,1,4.3
101278,Industrial Edge,Apartment,656,1,2,12,2007,Average,0,0,0,0,2.88,4,62,15,1,72,98000,149.39,95000,3.2,25,1,4.9
105584,Westside Heights,Penthouse,3206,3,3,28,2019,Needs Work,1,1,0,0,0.61,9,12,40,8,35,3371000,1051.47,3310000,1.8,37,1,12.5
104750,Riverside Park,Apartment,696,2,1,14,2020,Good,1,0,0,0,1.2,8,18,35,9,25,289000,415.23,309000,-6.5,19,1,12.2
111789,Old Town,Apartment,911,3,1,24,1972,Good,0,0,0,0,1.35,5,55,70,2,65,263000,288.69,279000,-5.7,11,0,-3.0
104953,Lakefront,Townhouse,1787,3,3,1,1963,Needs Work,1,0,0,0,1.21,9,8,25,10,15,949000,531.06,890000,6.6,14,0,6.5
100109,Old Town,Apartment,1160,1,2,25,2019,Average,0,1,0,0,1.26,5,55,70,2,65,337000,290.52,326000,3.4,7,0,-2.3
106734,Industrial Edge,Apartment,613,2,2,16,2018,Average,0,1,1,0,2.99,4,62,15,1,72,101000,164.76,99000,2.0,28,0,1.5
104655,Westside Heights,Apartment,999,1,2,10,2002,Needs Work,0,0,0,1,0.66,9,12,40,8,35,365000,365.37,397000,-8.1,1,1,12.2
102096,Suburban Green,Studio,522,0,1,24,1995,Good,0,1,0,0,2.73,9,10,20,8,18,129000,247.13,132000,-2.3,31,1,5.2
110191,Suburban Green,Townhouse,2057,3,2,3,2022,Good,1,0,0,1,3.0,9,10,20,8,18,796000,386.97,765000,4.1,14,1,7.8
104592,Downtown Core,Apartment,1220,1,1,2,2021,New,1,0,0,1,0.55,6,45,85,3,78,787000,645.08,715000,10.1,124,1,3.0
109605,Tech District,Studio,409,0,1,1,1995,Renovated,1,0,1,0,0.27,7,20,55,4,50,198000,484.11,185000,7.0,41,1,14.5
102932,Westside Heights,Penthouse,1973,3,3,39,2009,New,0,1,0,0,0.1,9,12,40,8,35,3862000,1957.43,3719000,3.8,43,0,13.4
107169,Old Town,Apartment,1362,1,2,8,2001,Good,1,0,1,0,1.73,5,55,70,2,65,427000,313.51,399000,7.0,42,0,-2.9
100777,Riverside Park,Apartment,1238,3,1,15,2022,Average,0,0,0,0,0.8,8,18,35,9,25,522000,421.65,480000,8.8,47,1,9.3
110441,Downtown Core,Penthouse,2244,2,3,28,1970,Renovated,0,0,0,0,0.28,6,45,85,3,78,2789000,1242.87,2996000,-6.9,24,1,5.2
105880,Suburban Green,Studio,384,0,1,14,1980,Good,0,0,0,1,3.08,9,10,20,8,18,82000,213.54,88000,-6.8,3,0,5.8
104922,North Valley,Townhouse,2150,2,2,1,1979,Renovated,0,0,0,0,4.28,7,15,12,7,12,521000,242.33,559000,-6.8,39,0,2.1
101997,Old Town,Condo,1338,3,2,5,2022,Average,1,0,0,1,1.62,5,55,70,2,65,416000,310.91,384000,8.3,88,0,-1.8
108607,North Valley,Penthouse,2306,3,2,27,2020,Renovated,1,0,0,1,3.77,7,15,12,7,12,1482000,642.67,1387000,6.8,6,0,6.1
111025,Westside Heights,Townhouse,1568,4,2,1,1979,Good,0,1,0,0,0.13,9,12,40,8,35,1194000,761.48,1072000,11.4,92,0,9.8
110734,Tech District,Apartment,1387,1,1,13,2016,Good,0,0,1,0,0.59,7,20,55,4,50,855000,616.44,777000,10.0,79,0,12.2
105794,Industrial Edge,Condo,815,2,2,1,2021,Average,1,0,0,0,2.94,4,62,15,1,72,139000,170.55,131000,6.1,29,1,3.3
110348,Lakefront,Townhouse,1862,3,3,1,2009,Renovated,0,1,0,1,1.09,9,8,25,10,15,1614000,866.81,1501000,7.5,41,1,8.7
100945,Riverside Park,Apartment,1089,2,1,13,2013,Renovated,1,0,1,0,0.78,8,18,35,9,25,618000,567.49,579000,6.7,37,1,8.1
102266,Riverside Park,Apartment,1372,2,1,22,1997,Average,0,0,0,1,1.1,8,18,35,9,25,544000,396.5,567000,-4.1,38,1,8.8
105647,Suburban Green,Condo,824,2,2,4,2019,New,0,0,1,1,3.4,9,10,20,8,18,299000,362.86,330000,-9.4,33,0,6.9
101260,Riverside Park,Studio,455,0,1,2,1961,Good,1,1,0,0,1.04,8,18,35,9,25,155000,340.66,144000,7.6,36,0,9.9
107509,Downtown Core,Apartment,975,2,1,12,2020,Renovated,1,1,1,0,0.1,6,45,85,3,78,678000,695.38,613000,10.6,112,0,4.7
109906,Harbor View,Condo,863,1,1,8,2019,Needs Work,0,0,1,0,1.24,6,28,50,7,40,367000,425.26,333000,10.2,114,0,10.3
101647,Riverside Park,Apartment,869,1,1,21,2016,Good,1,0,0,0,1.04,8,18,35,9,25,445000,512.08,411000,8.3,48,1,10.8
100368,Downtown Core,Penthouse,2157,3,3,33,2022,Average,0,0,0,0,0.1,6,45,85,3,78,2541000,1178.03,2413000,5.3,13,1,3.0
100140,Industrial Edge,Penthouse,2818,3,2,34,1981,Good,1,0,0,0,2.7,4,62,15,1,72,1250000,443.58,1271000,-1.7,23,1,1.5
105181,Industrial Edge,Studio,561,0,1,9,2012,Renovated,1,0,0,0,2.73,4,62,15,1,72,86000,153.3,80000,7.5,13,1,2.8
111308,Harbor View,Studio,576,0,1,24,2014,New,0,1,0,0,1.27,6,28,50,7,40,274000,475.69,270000,1.5,43,0,9.6
102185,Tech District,Apartment,1035,3,1,23,2017,Renovated,1,0,0,0,0.35,7,20,55,4,50,691000,667.63,691000,0.0,32,0,12.7
101179,Harbor View,Condo,1334,3,1,10,2013,Good,0,0,0,0,1.09,6,28,50,7,40,675000,506.0,714000,-5.5,7,1,11.9
110524,University Quarter,Penthouse,2448,3,3,37,2023,Average,0,0,0,0,0.6,8,25,65,6,60,1870000,763.89,1859000,0.6,21,1,5.6
107569,Industrial Edge,Townhouse,1894,3,3,3,2015,Good,1,0,0,0,2.53,4,62,15,1,72,367000,193.77,397000,-7.6,8,1,3.0
101542,Tech District,Penthouse,1613,2,4,38,1994,Average,0,0,0,0,0.57,7,20,55,4,50,2143000,1328.58,1952000,9.8,68,1,12.5
100075,Downtown Core,Condo,1233,2,1,16,2001,Average,1,0,0,1,0.5,6,45,85,3,78,657000,532.85,679000,-3.2,25,0,3.4
108960,Midtown East,Apartment,745,1,2,25,2000,Good,1,0,1,1,0.78,7,30,60,5,55,352000,472.48,376000,-6.4,28,1,8.8
106149,Industrial Edge,Apartment,761,1,1,8,2017,New,1,1,0,1,2.91,4,62,15,1,72,156000,204.99,164000,-4.9,38,0,4.6
101766,Riverside Park,Penthouse,1533,3,3,37,2023,Average,0,1,1,0,1.17,8,18,35,9,25,1693000,1104.37,1600000,5.8,23,1,9.5
105961,Westside Heights,Studio,476,0,1,20,2022,Renovated,0,0,0,0,0.27,9,12,40,8,35,241000,506.3,237000,1.7,21,0,13.4
103676,North Valley,Condo,894,3,1,22,2021,Average,0,1,0,0,4.12,7,15,12,7,12,192000,214.77,205000,-6.3,36,0,1.1
102567,Harbor View,Penthouse,2040,3,2,31,1985,Average,1,1,0,1,0.85,6,28,50,7,40,2247000,1101.47,2428000,-7.5,1,1,9.0
100732,Suburban Green,Apartment,1121,2,1,17,2016,Good,0,0,0,0,3.13,9,10,20,8,18,330000,294.38,335000,-1.5,40,1,8.6
111184,North Valley,Condo,1604,1,2,16,2008,Average,1,0,0,0,3.7,7,15,12,7,12,388000,241.9,360000,7.8,37,0,5.2
109712,Industrial Edge,Townhouse,2105,2,3,3,2000,New,1,0,0,0,2.68,4,62,15,1,72,549000,260.81,522000,5.2,10,0,4.5
106409,North Valley,Townhouse,1233,2,3,2,2002,Average,0,1,0,0,3.71,7,15,12,7,12,292000,236.82,266000,9.8,92,0,6.7
102459,Tech District,Apartment,1359,3,1,6,1980,Average,0,0,0,1,0.35,7,20,55,4,50,619000,455.48,636000,-2.7,34,1,14.5
101803,North Valley,Townhouse,1317,3,2,1,2021,Average,0,0,0,0,4.02,7,15,12,7,12,306000,232.35,274000,11.7,112,1,5.1
110677,Harbor View,Condo,1307,2,1,24,2015,Average,0,1,1,1,1.38,6,28,50,7,40,702000,537.11,749000,-6.3,8,1,10.5
107930,University Quarter,Studio,380,0,1,19,2013,Good,0,0,1,0,0.97,8,25,65,6,60,97000,255.26,102000,-4.9,37,1,4.6
100860,Harbor View,Townhouse,2289,4,3,2,2012,Good,0,0,0,1,0.88,6,28,50,7,40,1278000,558.32,1326000,-3.6,17,1,11.9
106714,Harbor View,Apartment,1179,2,1,12,2001,Good,0,0,0,0,1.4,6,28,50,7,40,569000,482.61,542000,5.0,27,1,10.3
110947,Tech District,Townhouse,1567,2,3,2,1995,Good,1,0,0,0,0.19,7,20,55,4,50,1080000,689.22,1033000,4.5,35,1,13.9
104512,Riverside Park,Apartment,1075,1,1,18,1997,Renovated,0,0,1,0,0.67,8,18,35,9,25,582000,541.4,571000,1.9,26,1,7.3
109324,Riverside Park,Penthouse,2595,4,4,32,1982,Renovated,1,1,0,0,1.18,8,18,35,9,25,3073000,1184.2,3246000,-5.3,11,1,12.1
102477,Westside Heights,Apartment,734,2,1,14,2011,Average,1,1,0,0,0.1,9,12,40,8,35,432000,588.56,410000,5.4,12,0,11.6
104747,Westside Heights,Condo,1648,2,2,5,2019,Good,1,0,0,0,0.1,9,12,40,8,35,1175000,712.99,1093000,7.5,11,1,11.6
106712,Downtown Core,Apartment,1226,3,1,19,1995,New,1,1,1,1,0.54,6,45,85,3,78,817000,666.39,883000,-7.5,20,1,7.4
103596,Downtown Core,Condo,1221,2,1,1,2012,Renovated,1,1,0,1,0.15,6,45,85,3,78,759000,621.62,794000,-4.4,28,1,7.3
101813,Harbor View,Studio,368,0,1,3,2020,Needs Work,0,1,0,0,1.23,6,28,50,7,40,80000,217.39,87000,-8.0,23,1,11.2
102449,University Quarter,Apartment,983,1,1,2,1991,Good,0,1,0,0,0.53,8,25,65,6,60,287000,291.96,313000,-8.3,4,1,5.8
108055,Riverside Park,Townhouse,2046,3,2,2,2021,Average,0,1,1,0,1.26,8,18,35,9,25,952000,465.3,944000,0.8,24,1,11.7
101851,North Valley,Apartment,1369,2,1,8,2006,Renovated,0,1,0,0,3.98,7,15,12,7,12,308000,224.98,309000,-0.3,34,1,1.4
108704,Suburban Green,Apartment,1089,3,1,19,2003,Good,1,0,0,0,3.32,9,10,20,8,18,379000,348.03,340000,11.5,119,0,9.5
100710,University Quarter,Condo,1581,3,1,9,2021,Good,0,1,0,1,0.89,8,25,65,6,60,666000,421.25,616000,8.1,40,0,4.9
100663,Downtown Core,Apartment,813,3,2,2,1977,Good,0,0,0,0,0.57,6,45,85,3,78,349000,429.27,364000,-4.1,36,1,2.8
111590,Westside Heights,Apartment,1043,1,2,4,1983,Average,1,1,0,1,0.34,9,12,40,8,35,588000,563.76,550000,6.9,8,0,10.3
107491,Downtown Core,Townhouse,1795,4,2,1,1992,Average,1,0,1,0,0.1,6,45,85,3,78,1095000,610.03,1010000,8.4,97,1,3.3
109071,Lakefront,Condo,1062,1,2,16,1981,Good,1,1,0,0,1.55,9,8,25,10,15,733000,690.21,776000,-5.5,21,1,9.2
110690,Lakefront,Townhouse,1608,4,2,2,2000,Good,0,1,0,0,1.3,9,8,25,10,15,1244000,773.63,1122000,10.9,51,1,10.3
100634,Harbor View,Studio,599,0,1,9,2018,Good,1,1,0,0,0.94,6,28,50,7,40,206000,343.91,227000,-9.3,34,1,11.3
105953,Suburban Green,Penthouse,2872,4,4,34,2014,Good,1,1,0,0,2.9,9,10,20,8,18,2218000,772.28,2337000,-5.1,30,1,7.3
111712,North Valley,Apartment,728,2,2,18,1998,Needs Work,1,0,0,0,4.48,7,15,12,7,12,124000,170.33,115000,7.8,8,1,1.5
101614,Lakefront,Townhouse,1911,2,3,1,1985,Renovated,0,0,0,0,0.94,9,8,25,10,15,1487000,778.13,1458000,2.0,41,1,11.6
106805,North Valley,Condo,1315,3,2,4,2015,Renovated,1,0,0,0,4.15,7,15,12,7,12,343000,260.84,338000,1.5,44,1,4.3
104964,Downtown Core,Studio,410,0,1,13,1985,Renovated,0,1,0,0,0.69,6,45,85,3,78,154000,375.61,168000,-8.3,2,1,6.5
108117,Lakefront,Townhouse,2396,2,2,1,1985,Good,0,0,0,0,1.45,9,8,25,10,15,1678000,700.33,1590000,5.5,44,1,11.3
111509,Westside Heights,Apartment,1308,2,1,10,2011,Renovated,0,1,0,0,0.8,9,12,40,8,35,824000,629.97,799000,3.1,36,1,12.1
102206,Harbor View,Apartment,1031,1,1,16,2020,Needs Work,1,1,0,0,1.32,6,28,50,7,40,350000,339.48,371000,-5.7,22,1,13.6
107306,Industrial Edge,Penthouse,3086,2,3,39,1982,Good,1,1,0,1,2.32,4,62,15,1,72,1537000,498.06,1590000,-3.3,35,0,4.3
107243,Midtown East,Condo,1407,2,2,6,2015,Renovated,1,0,1,0,0.65,7,30,60,5,55,751000,533.76,765000,-1.8,35,1,9.5
105131,Downtown Core,Condo,1463,2,2,22,2019,Good,1,1,0,0,0.57,6,45,85,3,78,876000,598.77,941000,-6.9,10,1,6.8
101553,Old Town,Townhouse,1878,4,2,1,2019,New,1,0,0,0,1.27,5,55,70,2,65,839000,446.75,770000,9.0,90,0,-0.3
100122,Old Town,Apartment,1302,1,2,3,1965,Renovated,0,0,0,0,1.79,5,55,70,2,65,367000,281.87,362000,1.4,19,1,-3.2
103481,Lakefront,Studio,437,0,1,22,2015,Average,1,1,0,1,1.05,9,8,25,10,15,208000,475.97,207000,0.5,12,0,6.4
100020,Harbor View,Studio,395,0,1,16,2015,Needs Work,0,0,0,1,1.06,6,28,50,7,40,105000,265.82,105000,0.0,19,1,11.6
105299,Midtown East,Apartment,922,1,2,11,2005,Average,0,0,1,0,0.8,7,30,60,5,55,344000,373.1,341000,0.9,33,0,9.7
102160,Industrial Edge,Penthouse,1705,4,3,26,1985,Good,1,0,0,1,2.4,4,62,15,1,72,776000,455.13,780000,-0.5,5,1,2.3
101245,Westside Heights,Apartment,689,1,2,13,2017,Average,0,0,0,0,0.44,9,12,40,8,35,347000,503.63,344000,0.9,40,0,10.6
103922,University Quarter,Townhouse,1796,4,2,1,2015,New,1,0,1,0,0.53,8,25,65,6,60,943000,525.06,917000,2.8,16,1,4.4
101232,Midtown East,Apartment,1364,1,2,21,1988,Average,0,1,1,0,0.24,7,30,60,5,55,599000,439.15,583000,2.7,20,1,5.6
108784,Downtown Core,Condo,1308,2,1,1,1973,Average,1,1,1,1,0.31,6,45,85,3,78,748000,571.87,708000,5.6,22,1,7.1
107805,Westside Heights,Condo,1026,1,1,8,1972,Renovated,1,1,0,0,0.11,9,12,40,8,35,870000,847.95,787000,10.5,61,1,11.4
103579,Westside Heights,Apartment,678,2,1,11,2009,Renovated,0,1,1,0,0.1,9,12,40,8,35,469000,691.74,467000,0.4,22,1,10.3
111464,Harbor View,Penthouse,3080,3,4,30,2005,Average,1,1,1,0,1.06,6,28,50,7,40,3282000,1065.58,3641000,-9.9,15,1,12.4
102472,Old Town,Studio,388,0,1,19,1985,Renovated,0,0,0,0,1.67,5,55,70,2,65,84000,216.49,92000,-8.7,19,1,-2.3
109813,Industrial Edge,Studio,400,0,1,7,2015,Average,0,1,1,1,2.55,4,62,15,1,72,45000,112.5,49000,-8.2,10,1,3.2
103115,University Quarter,Apartment,1150,2,1,17,2018,Average,1,0,0,1,0.48,8,25,65,6,60,425000,369.57,383000,11.0,84,1,3.7
102897,North Valley,Condo,1378,2,2,3,1982,Average,0,1,0,0,4.47,7,15,12,7,12,303000,219.88,276000,9.8,32,1,6.1
110089,Industrial Edge,Condo,1051,3,2,23,2008,Average,1,0,0,1,2.58,4,62,15,1,72,196000,186.49,213000,-8.0,8,1,4.9
102275,Westside Heights,Apartment,1353,1,1,13,1986,Renovated,0,0,0,0,0.31,9,12,40,8,35,882000,651.88,854000,3.3,40,1,12.6
103315,Lakefront,Condo,1396,2,1,23,1990,New,0,0,1,0,1.18,9,8,25,10,15,1319000,944.84,1304000,1.2,38,1,11.7
111621,Industrial Edge,Condo,1345,2,1,21,1969,Good,1,0,0,0,2.94,4,62,15,1,72,289000,214.87,284000,1.8,39,0,0.5
111961,Downtown Core,Apartment,955,3,2,17,1983,Needs Work,1,0,0,1,0.18,6,45,85,3,78,346000,362.3,376000,-8.0,31,1,4.1
103152,Riverside Park,Condo,844,2,1,22,1993,Average,0,1,0,1,0.74,8,18,35,9,25,438000,518.96,425000,3.1,18,1,8.3
100440,Tech District,Condo,1311,1,1,14,2019,Renovated,0,0,0,0,0.18,7,20,55,4,50,941000,717.77,912000,3.2,6,0,16.6
