date,day_of_week,is_weekend,is_holiday,season,weather_condition,temperature_f,humidity_pct,wind_mph,precipitation_inches,is_raining,is_snowing,business_type,revenue,customer_count,online_order_pct,cancellation_rate
2024-07-05,Friday,0,0,Summer,Hot & Humid,76,61,17,0,0,0,Retail Store,13792.64,394,20,2.6
2024-03-24,Sunday,1,0,Spring,Cloudy,66,52,3,0,0,0,Retail Store,23161.92,661,11,7.4
2024-04-22,Monday,0,0,Spring,Cloudy,59,33,32,0,0,0,Ice Cream / Cold Drinks,2379.39,297,35,7.2
2025-10-14,Tuesday,0,0,Fall,Foggy,65,83,33,0.1,0,0,Coffee Shop,3253.71,542,20,5.0
2024-10-29,Tuesday,0,0,Fall,Thunderstorm,63,63,12,1.93,1,0,Ride-Hailing,27838.34,1546,24,4.3
2024-07-25,Thursday,0,0,Summer,Cloudy,91,59,10,0,0,0,Gym / Fitness,4282.13,130,22,7.9
2025-01-23,Thursday,0,0,Winter,Light Rain,20,34,9,0.1,1,0,Restaurant Dine-In,11159.62,247,35,7.3
2024-08-16,Friday,0,0,Summer,Sunny,76,50,19,0,0,0,Gym / Fitness,3874.23,154,24,3.0
2025-08-27,Wednesday,0,0,Summer,Cloudy,75,91,33,0,0,0,Restaurant Dine-In,10487.99,233,11,7.8
2025-11-01,Saturday,1,0,Fall,Light Rain,63,60,6,0.13,1,0,Gym / Fitness,3961.43,248,36,6.6
2024-02-25,Sunday,1,0,Winter,Windy,32,53,10,0,0,0,Coffee Shop,4935.6,822,28,6.3
2025-02-26,Wednesday,0,0,Winter,Thunderstorm,28,47,6,0.46,1,0,Restaurant Dine-In,7074.7,157,30,25.4
2025-09-13,Saturday,1,0,Fall,Sunny,45,67,17,0,0,0,Restaurant Dine-In,16561.62,368,16,3.3
2024-11-15,Friday,0,0,Fall,Cloudy,60,30,16,0,0,0,Retail Store,13975.95,399,14,7.0
2025-09-26,Friday,0,0,Fall,Snow,45,73,12,2.91,0,1,Coffee Shop,3486.66,581,22,2.2
2024-03-05,Tuesday,0,0,Spring,Windy,72,90,19,0,0,0,Movie Theater,6184.75,412,12,5.0
2024-12-13,Friday,0,0,Winter,Thunderstorm,31,70,28,0.62,1,0,Outdoor Events,1350.0,45,14,31.4
2024-06-11,Tuesday,0,0,Summer,Hot & Humid,78,62,20,0,0,0,Ride-Hailing,19545.47,1085,16,5.7
2025-09-07,Sunday,1,0,Fall,Clear & Cold,66,31,32,0,0,0,Movie Theater,8173.93,544,28,3.8
2025-06-27,Friday,0,0,Summer,Windy,83,33,23,0,0,0,Coffee Shop,3141.69,523,27,7.1
2025-07-25,Friday,0,0,Summer,Sunny,98,76,14,0,0,0,Ride-Hailing,19057.87,1058,12,2.7
2025-02-21,Friday,0,0,Winter,Foggy,45,69,5,0.15,0,0,Restaurant Dine-In,11427.25,253,12,7.6
2024-12-24,Tuesday,0,0,Winter,Sunny,30,54,21,0,0,0,Restaurant Dine-In,8192.31,182,22,3.1
2024-08-05,Monday,0,0,Summer,Thunderstorm,83,87,22,0.31,1,0,Restaurant Dine-In,6876.85,152,30,21.4
2024-02-16,Friday,0,0,Winter,Snow,31,46,7,0.73,0,1,Gym / Fitness,2920.41,246,40,2.8
2024-12-16,Monday,0,0,Winter,Heavy Rain,42,43,17,0.68,1,0,Ice Cream / Cold Drinks,1720.29,215,37,2.2
2024-11-12,Tuesday,0,0,Fall,Heavy Rain,67,82,2,0.76,1,0,Movie Theater,7508.18,500,22,2.1
2024-10-10,Thursday,0,0,Fall,Heavy Rain,56,61,15,1.48,1,0,Ride-Hailing,28894.91,1605,16,7.0
2024-11-13,Wednesday,0,0,Fall,Cloudy,66,71,25,0,0,0,Movie Theater,5981.95,398,27,4.8
2024-10-16,Wednesday,0,0,Fall,Sunny,53,55,29,0,0,0,Retail Store,14515.04,414,13,2.8
2024-03-16,Saturday,1,0,Spring,Hot & Humid,65,88,3,0,0,0,Retail Store,18139.84,518,12,4.6
2025-07-11,Friday,0,0,Summer,Hot & Humid,84,88,14,0,0,0,Retail Store,16323.64,466,22,7.3
2025-10-25,Saturday,1,0,Fall,Sunny,56,63,31,0,0,0,Ice Cream / Cold Drinks,3221.91,402,24,5.0
2025-07-03,Thursday,0,0,Summer,Thunderstorm,89,44,24,1.95,1,0,Coffee Shop,2888.42,481,32,4.3
2025-11-23,Sunday,1,0,Fall,Clear & Cold,64,70,3,0,0,0,Coffee Shop,3820.54,636,19,4.6
2024-02-28,Wednesday,0,0,Winter,Foggy,32,61,31,0.11,0,0,Restaurant Dine-In,11230.76,249,18,5.7
2025-06-15,Sunday,1,0,Summer,Heavy Rain,87,61,17,1.72,1,0,Movie Theater,11603.55,773,14,2.4
2025-06-10,Tuesday,0,1,Summer,Sunny,96,79,13,0,0,0,Food Delivery,11997.18,545,97,3.4
2025-03-04,Tuesday,0,0,Spring,Clear & Cold,55,45,7,0,0,0,Retail Store,14780.9,422,16,7.6
2024-12-25,Wednesday,0,1,Winter,Clear & Cold,27,58,17,0,0,0,Ride-Hailing,25473.94,1415,14,3.9
2024-01-03,Wednesday,0,0,Winter,Foggy,21,81,19,0.03,0,0,E-Commerce,30642.52,557,92,8.0
2024-01-15,Monday,0,0,Winter,Snow,27,64,29,2.2,0,1,Ride-Hailing,24157.56,1342,25,2.1
2025-07-10,Thursday,0,0,Summer,Sunny,86,70,8,0,0,0,Food Delivery,7793.61,354,95,4.9
2024-11-03,Sunday,1,0,Fall,Heavy Rain,69,90,8,0.51,1,0,Outdoor Events,7606.1,253,36,19.3
2024-01-05,Friday,0,0,Winter,Light Rain,45,37,17,0.26,1,0,Food Delivery,10437.93,474,100,6.9
2024-12-08,Sunday,1,1,Winter,Sunny,32,82,24,0,0,0,Gym / Fitness,4706.04,120,13,2.4
2025-06-12,Thursday,0,0,Summer,Foggy,95,69,14,0.04,0,0,Food Delivery,10327.58,469,95,3.9
2025-11-12,Wednesday,0,0,Fall,Sunny,65,34,13,0,0,0,E-Commerce,27530.93,500,88,3.3
2024-11-18,Monday,0,0,Fall,Light Rain,56,81,28,0.25,1,0,Outdoor Events,3160.17,105,34,3.0
2024-03-26,Tuesday,0,0,Spring,Thunderstorm,46,90,35,0.91,1,0,Ice Cream / Cold Drinks,855.93,106,36,7.9
2025-08-06,Wednesday,0,0,Summer,Hot & Humid,78,68,34,0,0,0,Retail Store,11615.34,331,10,4.1
2024-02-26,Monday,0,0,Winter,Light Rain,39,90,15,0.23,1,0,E-Commerce,29592.02,538,91,6.3
2025-08-09,Saturday,1,0,Summer,Sunny,75,90,9,0,0,0,Movie Theater,8145.5,543,30,4.8
2024-04-14,Sunday,1,0,Spring,Sunny,58,30,7,0,0,0,Food Delivery,10653.48,484,94,7.3
2024-05-26,Sunday,1,0,Spring,Light Rain,50,55,31,0.04,1,0,Movie Theater,9630.72,642,33,6.6
2024-09-25,Wednesday,0,0,Fall,Snow,68,73,30,3.25,0,1,Ride-Hailing,23106.04,1283,28,4.2
2025-02-25,Tuesday,0,0,Winter,Light Rain,43,32,3,0.29,1,0,Food Delivery,9662.57,439,89,7.6
2024-06-08,Saturday,1,1,Summer,Light Rain,89,90,23,0.13,1,0,Food Delivery,14941.64,679,86,6.2
2024-10-26,Saturday,1,0,Fall,Sunny,63,82,4,0,0,0,Gym / Fitness,4014.76,151,25,5.9
2024-10-12,Saturday,1,0,Fall,Cloudy,63,38,8,0,0,0,Movie Theater,8627.55,575,15,4.0
2025-02-10,Monday,0,0,Winter,Foggy,24,56,6,0.18,0,0,E-Commerce,31196.9,567,94,4.4
2024-08-12,Monday,0,0,Summer,Sunny,85,72,18,0,0,0,Retail Store,12975.63,370,9,7.2
2025-12-06,Saturday,1,0,Winter,Thunderstorm,21,36,35,1.7,1,0,Restaurant Dine-In,9316.52,207,25,25.9
2024-12-19,Thursday,0,0,Winter,Clear & Cold,43,30,6,0,0,0,E-Commerce,24044.73,437,90,5.9
2024-05-20,Monday,0,0,Spring,Sunny,52,77,11,0,0,0,Gym / Fitness,4801.32,55,20,3.3
2025-08-07,Thursday,0,0,Summer,Sunny,78,93,14,0,0,0,Retail Store,14772.34,422,17,4.4
2025-05-14,Wednesday,0,0,Spring,Cloudy,70,37,7,0,0,0,Movie Theater,5967.71,397,40,4.9
2024-09-01,Sunday,1,0,Fall,Cloudy,60,48,15,0,0,0,Ice Cream / Cold Drinks,3068.04,383,23,6.1
2025-12-27,Saturday,1,0,Winter,Snow,23,83,15,3.61,0,1,Restaurant Dine-In,10754.29,238,44,33.6
2024-03-29,Friday,0,0,Spring,Hot & Humid,60,58,12,0,0,0,Outdoor Events,10701.73,356,33,7.6
2024-09-20,Friday,0,0,Fall,Heavy Rain,48,65,11,0.45,1,0,Gym / Fitness,3412.61,187,36,3.4
2025-08-08,Friday,0,0,Summer,Cloudy,86,65,7,0,0,0,Movie Theater,6353.02,423,40,2.3
2025-11-03,Monday,0,0,Fall,Light Rain,64,33,28,0.21,1,0,E-Commerce,26110.7,474,87,3.2
2024-01-30,Tuesday,0,0,Winter,Cloudy,43,83,8,0,0,0,Movie Theater,6410.74,427,14,6.7
2025-07-29,Tuesday,0,0,Summer,Thunderstorm,99,55,27,1.33,1,0,Retail Store,8300.02,237,34,7.2
2024-04-24,Wednesday,0,0,Spring,Cloudy,55,58,29,0,0,0,Ice Cream / Cold Drinks,2264.33,283,29,2.5
2024-11-07,Thursday,0,0,Fall,Foggy,61,57,2,0.14,0,0,Restaurant Dine-In,12077.14,268,13,5.7
2024-01-29,Monday,0,0,Winter,Light Rain,20,45,31,0.12,1,0,Retail Store,10217.15,291,33,2.6
2024-03-27,Wednesday,0,1,Spring,Sunny,60,55,10,0,0,0,Food Delivery,10468.32,475,95,2.4
2024-02-11,Sunday,1,0,Winter,Clear & Cold,20,32,18,0,0,0,Restaurant Dine-In,15533.69,345,14,3.4
2025-02-23,Sunday,1,0,Winter,Clear & Cold,35,74,3,0,0,0,Outdoor Events,14366.64,478,39,4.2
2025-05-05,Monday,0,0,Spring,Clear & Cold,53,76,18,0,0,0,Movie Theater,6550.4,436,35,5.7
2024-09-16,Monday,0,0,Fall,Sunny,53,32,8,0,0,0,E-Commerce,23439.71,426,98,4.2
2024-05-24,Friday,0,0,Spring,Windy,60,77,13,0,0,0,Restaurant Dine-In,11105.68,246,12,2.2
2025-06-06,Friday,0,0,Summer,Cloudy,86,49,35,0,0,0,Movie Theater,5949.54,396,10,3.7
2024-04-01,Monday,0,0,Spring,Clear & Cold,50,54,10,0,0,0,Retail Store,13955.68,398,18,2.7
2025-07-21,Monday,0,0,Summer,Cloudy,99,88,10,0,0,0,Gym / Fitness,3633.42,119,34,6.3
2024-03-10,Sunday,1,0,Spring,Cloudy,69,85,8,0,0,0,Gym / Fitness,3596.84,71,13,7.0
2025-07-27,Sunday,1,0,Summer,Thunderstorm,98,32,19,0.82,1,0,Ice Cream / Cold Drinks,4369.56,546,25,4.5
2025-11-26,Wednesday,0,0,Fall,Sunny,57,72,18,0,0,0,Coffee Shop,2972.34,495,23,3.7
2024-01-04,Thursday,0,0,Winter,Clear & Cold,37,31,9,0,0,0,Coffee Shop,3421.8,570,40,6.3
2025-05-07,Wednesday,0,0,Spring,Sunny,60,50,15,0,0,0,Movie Theater,6176.52,411,22,2.7
2024-08-12,Monday,0,0,Summer,Sunny,85,72,18,0,0,0,Ice Cream / Cold Drinks,3636.25,454,18,2.1
2024-05-03,Friday,0,0,Spring,Hot & Humid,52,88,31,0,0,0,Coffee Shop,2987.44,497,32,3.4
2025-01-31,Friday,0,0,Winter,Light Rain,24,80,2,0.12,1,0,Restaurant Dine-In,8942.38,198,24,7.3
2024-12-25,Wednesday,0,1,Winter,Clear & Cold,27,58,17,0,0,0,Coffee Shop,4966.64,827,28,3.2
2025-02-05,Wednesday,0,0,Winter,Sunny,39,50,7,0,0,0,Gym / Fitness,4531.79,111,31,3.9
2024-03-15,Friday,0,0,Spring,Light Rain,57,64,28,0.12,1,0,Ride-Hailing,23735.09,1318,20,5.3
2024-09-29,Sunday,1,0,Fall,Heavy Rain,66,48,22,1.43,1,0,Ice Cream / Cold Drinks,1942.3,242,24,7.7
2025-08-30,Saturday,1,0,Summer,Light Rain,77,66,4,0.02,1,0,Ride-Hailing,25316.71,1406,18,4.4
2025-12-09,Tuesday,0,0,Winter,Windy,38,54,30,0,0,0,Ride-Hailing,20275.77,1126,20,7.8
2024-05-03,Friday,0,0,Spring,Hot & Humid,52,88,31,0,0,0,E-Commerce,27475.46,499,94,2.6
2024-06-27,Thursday,0,0,Summer,Windy,97,33,9,0,0,0,Retail Store,11710.09,334,16,3.0
2025-04-11,Friday,0,0,Spring,Sunny,69,51,24,0,0,0,Retail Store,13854.93,395,9,2.7
2025-06-06,Friday,0,0,Summer,Cloudy,86,49,35,0,0,0,E-Commerce,24264.9,441,92,2.9
2025-08-08,Friday,0,0,Summer,Cloudy,86,65,7,0,0,0,E-Commerce,28715.29,522,86,7.9
2024-07-24,Wednesday,0,0,Summer,Clear & Cold,78,43,4,0,0,0,Restaurant Dine-In,11973.37,266,16,2.9
2024-04-30,Tuesday,0,1,Spring,Sunny,65,70,28,0,0,0,Gym / Fitness,5217.11,138,34,6.2
2024-01-22,Monday,0,0,Winter,Snow,28,52,32,2.32,0,1,Gym / Fitness,2959.9,244,27,2.2
2025-12-06,Saturday,1,0,Winter,Thunderstorm,21,36,35,1.7,1,0,Ice Cream / Cold Drinks,523.38,65,20,5.3
2024-10-16,Wednesday,0,0,Fall,Sunny,53,55,29,0,0,0,Ride-Hailing,20787.55,1154,27,3.2
2025-01-15,Wednesday,0,0,Winter,Light Rain,37,54,33,0.19,1,0,Retail Store,10553.24,301,47,5.7
2024-01-25,Thursday,0,0,Winter,Cloudy,21,72,8,0,0,0,Coffee Shop,4556.51,759,25,6.7
2025-10-07,Tuesday,0,0,Fall,Windy,59,79,14,0,0,0,Food Delivery,9132.08,415,85,7.1
2024-06-01,Saturday,1,0,Summer,Cloudy,91,71,11,0,0,0,Restaurant Dine-In,15166.66,337,6,4.8
2024-05-28,Tuesday,0,0,Spring,Sunny,46,52,12,0,0,0,E-Commerce,21154.72,384,88,6.2
2025-07-25,Friday,0,0,Summer,Sunny,98,76,14,0,0,0,Outdoor Events,7472.42,249,25,7.3
2025-08-16,Saturday,1,0,Summer,Cloudy,85,59,35,0,0,0,Ice Cream / Cold Drinks,4055.94,506,22,2.3
2024-12-17,Tuesday,0,0,Winter,Heavy Rain,37,65,34,1.87,1,0,Gym / Fitness,3777.05,108,24,7.0
2024-04-23,Tuesday,0,0,Spring,Sunny,50,62,14,0,0,0,Coffee Shop,2998.09,499,12,3.5
2025-08-16,Saturday,1,0,Summer,Cloudy,85,59,35,0,0,0,Restaurant Dine-In,14461.55,321,7,7.0
2025-08-13,Wednesday,0,1,Summer,Cloudy,81,63,12,0,0,0,Movie Theater,8280.55,552,17,3.9
2025-10-12,Sunday,1,1,Fall,Thunderstorm,61,46,22,1.64,1,0,Outdoor Events,6249.52,208,36,20.3
2024-02-27,Tuesday,0,0,Winter,Thunderstorm,20,39,4,1.02,1,0,Retail Store,8813.73,251,46,2.7
2024-08-09,Friday,0,0,Summer,Sunny,92,55,3,0,0,0,Food Delivery,9587.33,435,88,2.1
2024-03-12,Tuesday,0,0,Spring,Cloudy,52,53,25,0,0,0,Movie Theater,5053.2,336,23,6.1
2025-09-01,Monday,0,0,Fall,Windy,60,79,35,0,0,0,Movie Theater,5654.77,376,15,3.7
2024-02-01,Thursday,0,0,Winter,Clear & Cold,35,84,8,0,0,0,Retail Store,16316.95,466,22,6.3
2024-01-25,Thursday,0,0,Winter,Cloudy,21,72,8,0,0,0,Ride-Hailing,18547.87,1030,11,5.7
2024-10-13,Sunday,1,1,Fall,Light Rain,60,32,13,0.29,1,0,Coffee Shop,4700.23,783,28,6.1
2024-12-11,Wednesday,0,0,Winter,Heavy Rain,28,49,23,0.42,1,0,Restaurant Dine-In,4972.88,110,24,23.5
2024-09-19,Thursday,0,0,Fall,Cloudy,64,76,7,0,0,0,Gym / Fitness,4402.26,284,25,6.0
2025-12-11,Thursday,0,0,Winter,Snow,34,92,24,2.74,0,1,Coffee Shop,4935.24,822,10,2.4
2024-04-28,Sunday,1,0,Spring,Clear & Cold,54,57,30,0,0,0,Outdoor Events,9929.28,330,29,5.6
2025-12-20,Saturday,1,0,Winter,Light Rain,43,63,14,0.27,1,0,Movie Theater,9920.72,661,16,7.1
2024-08-25,Sunday,1,0,Summer,Heavy Rain,95,74,11,0.76,1,0,Food Delivery,14332.95,651,94,5.0
2024-12-19,Thursday,0,0,Winter,Clear & Cold,43,30,6,0,0,0,Ride-Hailing,18597.17,1033,40,7.7
2024-03-07,Thursday,0,0,Spring,Light Rain,62,43,3,0.04,1,0,Movie Theater,6854.4,456,29,5.7
2024-12-27,Friday,0,0,Winter,Windy,37,68,23,0,0,0,E-Commerce,29260.26,532,90,6.4
2024-01-21,Sunday,1,0,Winter,Foggy,45,55,29,0.04,0,0,Food Delivery,9835.88,447,93,7.0
2024-03-30,Saturday,1,0,Spring,Cloudy,66,60,8,0,0,0,Ride-Hailing,22242.3,1235,27,4.3
2025-10-04,Saturday,1,0,Fall,Clear & Cold,53,39,20,0,0,0,Restaurant Dine-In,15861.91,352,11,2.6
2025-12-13,Saturday,1,0,Winter,Cloudy,29,77,16,0,0,0,Retail Store,19868.73,567,18,5.8
2024-04-26,Friday,0,0,Spring,Foggy,61,76,26,0.15,0,0,Outdoor Events,6409.96,213,24,3.0
2025-12-19,Friday,0,0,Winter,Cloudy,44,59,35,0,0,0,Ice Cream / Cold Drinks,2620.14,327,21,5.6
2024-07-16,Tuesday,0,0,Summer,Heavy Rain,83,57,2,1.19,1,0,Outdoor Events,2761.24,92,16,33.2
2024-03-16,Saturday,1,0,Spring,Hot & Humid,65,88,3,0,0,0,Movie Theater,9246.35,616,14,5.6
2025-06-27,Friday,0,0,Summer,Windy,83,33,23,0,0,0,Ride-Hailing,19407.59,1078,39,7.3
2025-06-26,Thursday,0,0,Summer,Cloudy,87,40,11,0,0,0,Restaurant Dine-In,10920.98,242,10,2.9
2024-06-21,Friday,0,0,Summer,Sunny,99,72,17,0,0,0,Ride-Hailing,21027.25,1168,38,4.7
2024-12-16,Monday,0,0,Winter,Heavy Rain,42,43,17,0.68,1,0,E-Commerce,29571.9,537,90,2.1
2024-04-09,Tuesday,0,0,Spring,Cloudy,49,92,24,0,0,0,Retail Store,13748.17,392,5,2.3
2025-05-25,Sunday,1,0,Spring,Hot & Humid,48,94,29,0,0,0,Ice Cream / Cold Drinks,3355.81,419,13,4.3
2024-04-27,Saturday,1,0,Spring,Cloudy,65,49,13,0,0,0,Gym / Fitness,3863.37,61,14,5.4
2024-07-17,Wednesday,0,0,Summer,Sunny,100,39,26,0,0,0,Gym / Fitness,3811.53,175,35,4.6
2025-03-24,Monday,0,0,Spring,Windy,50,40,12,0,0,0,Food Delivery,8832.41,401,98,3.4
2025-09-20,Saturday,1,0,Fall,Clear & Cold,46,75,7,0,0,0,Food Delivery,9700.31,440,90,7.2
2024-10-07,Monday,0,0,Fall,Cloudy,64,57,8,0,0,0,Coffee Shop,3208.72,534,20,3.2
2024-01-26,Friday,0,0,Winter,Snow,44,42,30,1.08,0,1,Retail Store,7087.97,202,34,7.4
2024-03-02,Saturday,1,0,Spring,Cloudy,56,76,34,0,0,0,Retail Store,17895.16,511,12,5.0
2025-10-03,Friday,0,0,Fall,Light Rain,64,68,10,0.19,1,0,Retail Store,12259.61,350,23,6.2
2024-08-01,Thursday,0,0,Summer,Sunny,75,42,17,0,0,0,Coffee Shop,3371.52,561,35,7.8
2025-10-16,Thursday,0,0,Fall,Heavy Rain,63,79,16,0.68,1,0,Retail Store,10342.25,295,23,7.0
2025-02-09,Sunday,1,0,Winter,Clear & Cold,39,65,31,0,0,0,E-Commerce,26381.6,479,97,7.3
2024-03-28,Thursday,0,0,Spring,Sunny,63,70,16,0,0,0,Gym / Fitness,4017.89,164,10,3.6
2025-07-06,Sunday,1,0,Summer,Hot & Humid,96,72,32,0,0,0,Coffee Shop,3131.67,521,27,4.1
2025-06-20,Friday,0,0,Summer,Cloudy,83,86,6,0,0,0,Retail Store,15118.67,431,10,7.5
2024-05-18,Saturday,1,0,Spring,Heavy Rain,67,42,21,0.36,1,0,Retail Store,13696.94,391,41,6.5
2025-12-14,Sunday,1,0,Winter,Foggy,41,90,25,0.16,0,0,Movie Theater,8691.66,579,18,4.4
2024-08-26,Monday,0,0,Summer,Sunny,83,33,17,0,0,0,Ride-Hailing,19303.08,1072,20,8.0
2024-02-02,Friday,0,0,Winter,Windy,30,77,11,0,0,0,Ride-Hailing,16977.33,943,13,5.5
2025-05-23,Friday,0,0,Spring,Sunny,48,80,30,0,0,0,Retail Store,13031.19,372,14,3.0
2024-01-22,Monday,0,0,Winter,Snow,28,52,32,2.32,0,1,Food Delivery,12066.74,548,98,5.8
2024-08-31,Saturday,1,0,Summer,Sunny,100,36,13,0,0,0,E-Commerce,31549.18,573,91,6.2
2024-09-26,Thursday,0,0,Fall,Clear & Cold,49,92,4,0,0,0,Retail Store,15072.51,430,5,2.9
2025-12-03,Wednesday,0,0,Winter,Light Rain,42,88,14,0.29,1,0,Food Delivery,10701.21,486,87,6.6
2025-06-03,Tuesday,0,0,Summer,Hot & Humid,84,69,15,0,0,0,Retail Store,16704.92,477,19,2.6
2025-04-17,Thursday,0,0,Spring,Thunderstorm,46,66,25,1.95,1,0,Ride-Hailing,25151.27,1397,35,12.2
2024-06-20,Thursday,0,0,Summer,Light Rain,97,33,31,0.14,1,0,Outdoor Events,1529.93,50,27,6.2
2024-11-12,Tuesday,0,0,Fall,Heavy Rain,67,82,2,0.76,1,0,E-Commerce,31158.37,566,88,3.0
2025-10-04,Saturday,1,0,Fall,Clear & Cold,53,39,20,0,0,0,Ride-Hailing,20359.14,1131,29,7.3
2024-07-03,Wednesday,0,0,Summer,Hot & Humid,94,49,21,0,0,0,Restaurant Dine-In,9300.34,206,21,6.6
2024-07-14,Sunday,1,0,Summer,Hot & Humid,94,35,2,0,0,0,Ride-Hailing,22969.95,1276,36,3.7
2024-07-28,Sunday,1,0,Summer,Thunderstorm,87,93,29,1.99,1,0,Ice Cream / Cold Drinks,3799.27,474,24,4.8
2024-08-10,Saturday,1,0,Summer,Sunny,93,67,11,0,0,0,Coffee Shop,3012.19,502,12,6.7
2024-01-06,Saturday,1,0,Winter,Clear & Cold,22,72,6,0,0,0,Food Delivery,11182.77,508,100,3.3
2024-04-01,Monday,0,0,Spring,Clear & Cold,50,54,10,0,0,0,Food Delivery,8764.91,398,98,3.2
2024-12-18,Wednesday,0,0,Winter,Cloudy,20,75,35,0,0,0,E-Commerce,25532.32,464,89,5.2
2025-03-25,Tuesday,0,0,Spring,Sunny,59,62,8,0,0,0,Retail Store,16135.03,461,23,5.3
2024-03-04,Monday,0,0,Spring,Cloudy,49,62,24,0,0,0,Coffee Shop,3126.83,521,31,7.0
2024-11-03,Sunday,1,0,Fall,Heavy Rain,69,90,8,0.51,1,0,E-Commerce,32824.7,596,86,2.4
2024-04-28,Sunday,1,0,Spring,Clear & Cold,54,57,30,0,0,0,Retail Store,17847.89,509,21,7.2
2025-11-17,Monday,0,0,Fall,Light Rain,50,68,24,0.01,1,0,Retail Store,11539.87,329,38,2.4
2024-08-04,Sunday,1,0,Summer,Thunderstorm,78,94,33,0.59,1,0,Movie Theater,9970.96,664,24,5.0
2025-03-14,Friday,0,0,Spring,Cloudy,72,31,2,0,0,0,E-Commerce,25251.49,459,100,3.6
2024-06-10,Monday,0,0,Summer,Heavy Rain,88,64,23,0.76,1,0,Retail Store,9549.95,272,22,7.7
2025-04-14,Monday,0,0,Spring,Thunderstorm,60,42,16,1.95,1,0,Movie Theater,7643.94,509,23,7.2
2025-01-05,Sunday,1,0,Winter,Heavy Rain,39,60,33,1.34,1,0,E-Commerce,32797.84,596,98,6.3
2024-06-30,Sunday,1,0,Summer,Sunny,94,55,13,0,0,0,Coffee Shop,2792.65,465,26,6.7
2024-07-25,Thursday,0,0,Summer,Cloudy,91,59,10,0,0,0,Movie Theater,6386.17,425,31,7.3
2024-10-27,Sunday,1,0,Fall,Cloudy,53,94,8,0,0,0,Movie Theater,8864.41,590,37,5.7
2025-10-02,Thursday,0,0,Fall,Sunny,52,30,27,0,0,0,Restaurant Dine-In,7505.96,166,10,6.6
2024-02-02,Friday,0,0,Winter,Windy,30,77,11,0,0,0,Outdoor Events,7774.18,259,21,7.1
2024-08-29,Thursday,0,0,Summer,Sunny,94,73,26,0,0,0,Restaurant Dine-In,8753.49,194,22,7.8
2024-04-25,Thursday,0,0,Spring,Hot & Humid,65,76,27,0,0,0,Retail Store,10971.05,313,9,6.4
2024-03-18,Monday,0,0,Spring,Windy,75,68,15,0,0,0,Ice Cream / Cold Drinks,2640.54,330,25,5.8
